TRANSACTION_ID,ACCOUNT_ID,TXN_DATE,AMOUNT
169,856,2025-11-06,2518.86
170,899,2024-05-22,7645.81
171,252,2026-07-10,1039.62
172,338,2026-04-06,3495.71
173,599,2024-03-15,1238.63
174,823,2025-01-12,2509.74
175,158,2026-01-26,8477.9
176,879,2024-03-27,8395.72
177,736,2024-03-15,2894.34
178,62,2025-08-13,4633.83
179,758,2024-11-24,4557.74
180,578,2025-03-06,1244.58
181,881,2026-01-01,5666.47
182,189,2025-06-15,1398.96
183,894,2025-11-24,2367.36
184,43,2024-05-02,422.4
185,69,2024-01-03,6481.26
186,403,2024-09-02,7675.48
187,593,2024-07-15,4780.84
188,151,2024-11-11,3646.01
189,246,2026-01-29,2245.29
190,351,2024-05-28,6615.77
191,114,2024-05-02,12099.35
192,159,2024-07-14,1621.25
193,134,2024-11-14,2960.58
194,859,2024-07-11,1159.97
195,843,2024-06-28,3664.34
196,566,2025-07-19,2483.72
197,616,2024-04-18,3165.07
198,124,2024-05-30,6685.48
199,46,2026-03-26,8245.26
200,340,2024-01-18,959.8
201,886,2024-02-29,4517.13
202,431,2024-03-08,10235.99
203,728,2025-06-06,5383.79
204,333,2025-11-08,1275.24
205,279,2025-11-06,7961.41
206,731,2025-11-03,5696.81
207,424,2024-02-26,5248.08
208,659,2024-12-01,2881.0
209,654,2025-09-09,4985.8
210,655,2025-10-27,22800.24
211,609,2024-11-21,321.2
212,729,2026-04-05,2342.62
213,417,2026-03-23,2573.32
214,273,2026-01-16,15599.71
215,462,2026-02-16,1159.15
216,293,2026-08-08,1076.5
217,39,2026-02-13,587.77
218,326,2025-07-24,2316.83
219,451,2025-01-23,5229.3
220,469,2024-12-18,3417.14
221,307,2026-03-12,1363.95
222,653,2024-10-15,4993.84
223,257,2025-09-06,3455.33
224,583,2025-05-05,9335.37
225,243,2025-01-04,1837.82
226,888,2025-03-15,1663.66
227,585,2024-03-19,6946.17
228,502,2025-11-22,1109.29
229,387,2024-03-06,562.12
230,681,2024-03-12,3356.46
231,384,2024-09-02,5370.67
232,723,2025-06-02,503.94
233,144,2024-10-19,7563.08
234,739,2026-05-08,431.55
235,866,2026-06-23,1942.89
236,219,2025-01-18,3440.67
237,202,2026-09-01,10036.12
238,860,2024-03-27,10507.88
239,366,2024-05-20,4052.94
240,626,2024-12-04,2290.39
241,172,2026-07-08,2433.2
242,385,2025-05-06,14483.65
243,633,2025-11-19,8758.71
244,806,2025-09-28,4812.66
245,393,2025-05-01,4166.22
246,68,2026-06-27,3835.75
247,373,2026-07-19,295.83
248,579,2025-03-12,22.85
249,788,2025-11-26,2792.46
250,751,2025-08-31,953.22
251,684,2025-08-01,4210.91
252,149,2024-04-09,3938.3
253,468,2024-07-23,543.49
254,519,2026-08-23,4285.6
255,422,2024-08-26,4501.62
256,831,2025-09-27,4393.42
257,864,2026-06-07,1859.47
258,190,2025-08-10,5159.35
259,861,2024-07-28,5446.51
260,762,2026-04-18,5120.85
261,635,2024-02-01,2664.83
262,344,2025-12-06,11089.42
263,685,2024-09-16,9383.2
264,528,2025-09-16,3653.87
265,810,2025-04-13,1687.54
266,641,2025-07-08,1481.28
267,868,2025-01-07,5543.84
268,378,2025-05-30,783.86
269,75,2026-07-01,5878.71
270,443,2026-03-16,643.98
271,898,2025-02-12,3128.47
272,590,2026-07-06,5510.28
273,633,2026-05-16,1554.3
274,563,2025-09-03,7449.33
275,534,2025-08-02,2369.51
276,56,2024-02-04,3407.88
277,372,2025-05-26,208.18
278,78,2024-07-26,618.77
279,303,2024-06-05,6379.52
280,648,2026-04-16,2259.17
281,724,2024-09-21,8050.2
282,202,2025-08-23,103.31
283,589,2026-04-25,4963.81
284,204,2025-08-05,205.78
285,181,2026-01-30,1360.56
286,864,2026-01-25,3076.21
287,549,2025-03-12,2187.01
288,178,2026-06-17,4395.18
289,128,2026-06-05,1845.81
290,45,2024-11-25,2757.86
291,448,2026-03-09,1092.08
292,92,2024-06-27,5757.41
293,526,2024-04-19,3783.91
294,391,2025-05-31,4916.68
295,573,2025-08-13,3305.75
296,187,2025-07-22,6632.9
297,131,2026-02-17,1882.78
298,91,2025-01-16,3607.85
299,87,2026-02-27,24825.83
300,66,2026-05-29,877.3
301,233,2024-03-30,8405.47
302,721,2025-03-13,17230.34
303,547,2024-08-06,5331.64
304,226,2025-10-02,40.58
305,839,2025-02-06,934.57
306,685,2024-10-01,4441.0
307,702,2024-09-02,3348.52
308,809,2024-12-11,11446.54
309,672,2024-04-16,11734.11
310,862,2024-04-11,3113.67
311,298,2025-09-05,3338.2
312,771,2026-07-08,2012.87
313,101,2025-05-09,5117.17
314,271,2026-06-23,1275.22
315,803,2024-05-31,2995.44
316,121,2026-08-06,1387.31
317,451,2025-07-25,4177.79
318,307,2025-12-26,7987.25
319,91,2024-03-01,636.5
320,213,2025-08-11,2807.72
321,482,2025-01-08,10045.18
322,568,2026-05-26,12431.89
323,608,2026-02-11,2031.06
324,119,2026-04-22,1463.6
325,288,2026-05-17,10.72
326,94,2025-12-03,8694.72
327,9,2024-08-27,8254.68
328,352,2024-10-02,3766.99
329,560,2026-04-18,18647.48
330,334,2025-08-09,3346.56
331,37,2026-05-19,8910.51
332,198,2026-02-14,2154.62
333,390,2025-08-14,2694.3
334,321,2024-05-28,4422.76
335,743,2026-08-15,1406.69
336,539,2024-08-24,7063.18
337,899,2024-08-28,3891.68
338,158,2024-05-22,9077.86
339,334,2024-03-08,1273.41
340,79,2024-12-31,1425.35
341,19,2026-04-02,2677.76
342,832,2026-04-24,5238.2
343,444,2025-04-23,4673.35
344,594,2024-11-02,11513.51
345,249,2024-12-03,4468.33
346,47,2026-06-14,559.11
347,804,2024-02-23,1077.85
348,593,2024-02-26,491.69
349,641,2024-03-04,478.8
350,481,2026-05-15,2373.79
351,364,2024-03-29,8566.36
352,381,2026-07-07,3871.63
353,686,2024-06-28,5415.02
354,205,2025-06-18,6966.08
355,308,2026-08-04,9061.36
356,277,2024-04-22,1603.26
357,470,2024-10-01,8105.81
358,871,2025-12-10,7256.37
359,831,2026-03-07,2274.27
360,491,2026-06-03,1490.13
361,181,2024-01-19,2958.25
362,847,2026-01-27,11257.97
363,282,2024-11-09,2252.79
364,321,2025-06-27,8303.76
365,798,2026-06-02,6179.4
366,237,2026-05-29,5275.91
367,416,2024-06-29,10561.8
368,826,2025-04-03,4617.8
369,287,2024-10-03,3655.61
370,562,2025-08-22,226.88
371,34,2026-03-16,6918.01
372,897,2024-11-05,1352.29
373,378,2024-04-28,1114.8
374,604,2024-03-03,3771.88
375,451,2024-02-21,1085.14
376,391,2024-12-23,4958.05
377,366,2026-07-30,4243.35
378,16,2024-09-02,3917.08
379,250,2025-01-29,2959.36
380,343,2025-10-20,6738.79
381,333,2025-10-03,4975.46
382,247,2024-09-20,4902.02
383,579,2024-05-03,1509.66
384,747,2024-06-01,3224.9
385,803,2024-08-02,1482.29
386,876,2024-03-25,3178.38
387,585,2025-03-24,1745.39
388,370,2025-09-21,3106.48
389,582,2025-10-20,3225.88
390,120,2026-06-05,3106.46
391,736,2024-10-12,6862.31
392,482,2025-09-30,5554.68
393,149,2026-05-12,785.54
394,384,2024-01-28,2801.84
395,271,2026-01-31,3909.88
396,315,2024-03-26,1666.82
397,46,2025-06-21,4249.89
398,15,2026-03-20,1884.89
399,315,2025-03-23,3423.33
400,272,2025-06-29,1313.49
401,899,2025-08-27,3090.19
402,237,2025-07-17,5672.1
403,297,2025-12-14,6328.18
404,824,2026-04-17,3484.28
405,774,2024-05-11,14997.37
406,52,2025-02-09,4617.75
407,78,2026-04-11,6481.43
408,86,2025-01-06,9342.24
409,414,2025-04-22,1699.37
410,516,2025-12-24,5625.91
411,317,2026-06-30,4209.17
412,12,2024-09-02,5793.71
413,182,2026-07-20,7658.72
414,554,2025-11-23,1409.31
415,336,2024-01-30,14541.58
416,112,2026-04-20,3626.9
417,587,2025-01-09,2552.22
418,553,2024-10-02,120.31
419,442,2025-05-28,8869.71
420,847,2025-07-15,7248.49
421,760,2025-06-10,2893.82
422,36,2024-02-23,345.51
423,815,2026-03-12,3763.92
424,45,2024-11-29,675.79
425,434,2024-05-17,8179.86
426,812,2025-07-05,2808.63
427,884,2025-08-29,1277.57
428,21,2024-04-10,4348.96
429,65,2026-07-08,4908.74
430,218,2025-08-08,5407.76
431,249,2026-08-29,1371.98
432,252,2025-10-15,7609.13
433,376,2024-01-10,2871.93
434,287,2024-07-22,204.77
435,525,2026-08-06,3195.83
436,769,2025-06-29,3157.77
437,492,2024-04-29,3105.13
438,299,2024-03-13,4425.2
439,512,2025-06-07,12289.42
440,559,2025-08-02,3283.06
441,807,2024-08-28,3658.81
442,853,2024-07-09,2037.52
443,250,2025-08-14,3275.8
444,827,2025-02-28,5506.05
445,736,2024-02-06,5613.7
446,116,2024-02-26,9898.16
447,503,2024-08-20,306.64
448,137,2025-07-03,6966.39
449,442,2024-10-20,6162.57
450,41,2024-01-15,560.79
451,270,2026-06-11,9735.64
452,530,2025-11-07,740.0
453,274,2025-07-23,5631.83
454,10,2024-08-26,217.77
455,350,2025-11-21,1264.98
456,488,2026-07-11,5771.23
457,688,2025-10-21,5971.45
458,123,2024-10-15,2993.35
459,430,2025-01-17,10449.67
460,179,2026-06-24,5663.03
461,139,2024-01-14,7762.7
462,110,2024-08-03,3121.44
463,684,2024-04-14,1058.69
464,828,2025-09-17,1045.06
465,598,2025-03-23,2507.81
466,341,2024-05-09,1332.41
467,855,2026-07-06,1230.24
468,448,2025-06-21,427.74
469,477,2024-08-30,2672.27
470,572,2026-07-11,412.02
471,589,2025-11-11,2618.47
472,443,2024-05-06,264.68
473,432,2026-03-16,2381.87
474,287,2024-02-27,5501.65
475,613,2026-06-03,1278.01
476,606,2025-01-18,4475.18
477,393,2024-10-13,4221.76
478,641,2024-02-22,1721.63
479,125,2026-06-27,381.0
480,375,2025-06-29,6999.44
481,889,2025-08-15,1707.03
482,661,2026-04-09,11519.29
483,649,2025-05-10,6718.26
484,777,2024-10-09,5813.42
485,548,2026-01-28,721.47
486,597,2025-05-31,5844.67
487,434,2024-08-20,8480.92
488,744,2026-04-03,3686.14
489,641,2026-03-03,4536.64
490,472,2024-08-29,5530.52
491,115,2025-09-25,9248.3
492,726,2026-06-16,4902.59
493,294,2026-02-18,5383.26
494,324,2024-07-12,4341.61
495,113,2026-04-14,11781.6
496,196,2024-02-24,3777.53
497,114,2025-08-24,5351.7
498,88,2025-05-13,9687.77
499,20,2024-02-05,2229.43
500,266,2025-12-08,13445.57
501,681,2024-10-17,2007.48
502,778,2026-04-10,1299.55
503,205,2026-05-06,5486.79
504,382,2025-07-29,1902.92
505,749,2025-09-03,11373.99
506,637,2024-02-20,16697.62
507,814,2026-05-17,1355.75
508,379,2025-10-26,1212.95
509,152,2025-01-09,1148.05
510,129,2024-03-24,203.82
511,638,2025-05-07,1845.9
512,24,2026-05-28,8194.68
513,415,2026-04-21,5722.48
514,318,2024-04-06,2871.82
515,828,2026-01-12,5179.07
516,899,2024-03-20,797.38
517,436,2025-01-03,3761.9
518,523,2025-03-11,4405.85
519,341,2024-01-23,4170.47
520,700,2024-05-13,1783.07
521,266,2026-05-08,1711.16
522,670,2025-09-05,6172.78
523,814,2026-02-05,5854.7
524,155,2025-07-11,226.48
525,204,2025-03-13,218.41
526,341,2024-01-18,15757.72
527,745,2025-06-16,4531.06
528,577,2026-01-21,4182.21
529,175,2024-07-18,1417.1
530,332,2025-04-23,2542.42
531,580,2025-02-05,1943.74
532,869,2026-04-29,8243.9
533,406,2024-06-08,7943.96
534,68,2024-04-12,4596.8
535,95,2024-07-24,3999.05
536,26,2024-06-01,5310.58
537,114,2026-04-05,3948.26
538,372,2024-09-11,6177.76
539,254,2024-12-19,10392.16
540,271,2024-09-07,3289.51
541,690,2026-03-05,1445.77
542,430,2025-10-09,4036.59
543,657,2025-04-07,2036.63
544,488,2026-02-17,1041.39
545,185,2024-03-10,9292.53
546,854,2025-10-23,3839.23
547,429,2024-12-18,2522.01
548,753,2025-01-04,4377.04
549,88,2024-06-03,2200.74
550,765,2024-04-04,9515.64
551,645,2025-11-07,15627.76
552,225,2026-04-08,2324.27
553,714,2026-06-07,3144.15
554,669,2024-08-25,4893.35
555,805,2026-01-13,907.95
556,189,2024-04-18,284.44
557,798,2026-01-28,8701.3
558,686,2025-07-06,2466.02
559,305,2026-04-20,2258.9
560,316,2024-03-06,5181.56
561,230,2026-01-27,1437.98
562,430,2025-03-31,2208.97
563,807,2025-07-08,928.74
564,754,2025-06-09,382.64
565,132,2025-11-27,2174.58
566,119,2025-08-07,1421.81
567,54,2025-02-09,1223.59
568,553,2025-02-28,3641.54
569,283,2024-03-10,6738.66
570,685,2025-12-07,6838.1
571,685,2025-11-18,6617.18
572,178,2025-07-06,1667.15
573,625,2025-12-04,3320.64
574,689,2024-09-19,2082.66
575,889,2024-08-06,1689.17
576,651,2026-06-20,1803.2
577,324,2026-07-19,1108.82
578,900,2026-04-11,4421.4
579,249,2024-02-21,8343.94
580,725,2025-06-19,2032.19
581,341,2025-12-18,1815.17
582,842,2024-02-06,5806.87
583,705,2026-08-02,177.94
584,540,2026-02-06,3796.47
585,193,2024-10-28,1517.31
586,170,2025-05-08,2750.55
587,853,2026-06-08,3989.57
588,722,2026-04-12,3780.18
589,462,2026-03-16,7568.35
590,790,2026-08-17,195.38
591,705,2025-12-26,6863.68
592,349,2026-06-30,4139.74
593,745,2026-07-18,8196.12
594,717,2024-01-20,3564.32
595,431,2025-09-29,647.95
596,18,2024-11-21,3119.4
597,668,2025-04-27,5665.81
598,306,2024-06-12,6513.49
599,329,2025-10-20,3220.47
600,643,2026-03-24,2868.76
601,730,2025-02-05,4078.7
602,80,2025-11-11,7382.44
603,742,2024-11-12,2225.98
604,264,2025-12-31,4920.06
605,510,2024-03-21,18918.14
606,782,2026-05-08,7348.67
607,197,2025-01-03,2787.09
608,199,2025-05-07,906.64
609,874,2026-02-22,4703.61
610,336,2024-01-30,10555.94
611,853,2026-07-10,3226.45
612,322,2025-08-22,8030.72
613,558,2026-08-08,7539.28
614,460,2025-06-21,3553.81
615,886,2024-07-20,7014.91
616,496,2025-07-21,1036.42
617,453,2025-07-11,2925.6
618,420,2026-06-16,5168.77
619,338,2025-07-15,3477.28
620,397,2025-01-31,1165.94
621,415,2024-06-20,7020.94
622,688,2024-11-13,5115.63
623,42,2025-07-21,4116.44
624,451,2024-12-25,9371.45
625,495,2024-12-19,7136.8
626,678,2024-01-15,89.39
627,600,2026-07-07,4177.06
628,389,2026-03-26,4065.75
629,99,2024-09-05,2552.31
630,335,2024-05-13,197.92
631,231,2026-03-25,1598.02
632,184,2026-03-26,15857.32
633,650,2026-05-24,3491.1
634,431,2025-06-17,5402.58
635,715,2025-12-18,1143.96
636,125,2025-12-12,2377.75
637,888,2024-07-28,2058.16
638,427,2025-05-25,4370.48
639,228,2024-09-10,2484.21
640,327,2026-01-05,18428.92
641,758,2026-08-04,8312.2
642,639,2024-03-15,11236.15
643,155,2024-03-14,3510.91
644,892,2024-09-14,4298.58
645,118,2024-04-24,10467.46
646,248,2024-01-09,2297.08
647,657,2026-08-12,5172.31
648,477,2025-07-21,2484.46
649,402,2026-01-27,5419.13
650,834,2025-07-05,767.04
651,715,2025-12-28,1956.44
652,866,2025-10-31,4379.66
653,255,2024-06-05,4842.3
654,766,2024-05-26,6489.6
655,192,2025-04-21,970.67
656,726,2024-12-27,4230.72
657,494,2026-03-30,502.15
658,539,2024-10-25,2624.78
659,104,2024-11-16,3617.55
660,792,2025-05-30,3141.47
661,251,2024-07-06,12337.93
662,539,2026-04-16,3648.22
663,150,2024-01-11,5759.92
664,834,2026-04-06,4392.52
665,289,2025-08-29,3438.34
666,687,2026-05-15,5417.57
667,689,2024-10-13,4055.31
668,496,2026-05-27,3751.63
669,109,2026-04-22,2861.63
670,252,2025-03-21,2296.53
671,551,2024-10-03,1988.06
672,483,2024-07-11,3758.31
673,527,2024-05-27,3523.14
674,225,2025-07-22,10229.58
675,485,2026-07-25,659.41
676,77,2025-07-05,13063.82
677,436,2026-07-29,1004.53
678,83,2026-01-06,3401.51
679,598,2025-10-29,4885.28
680,511,2025-12-07,1292.44
681,767,2026-06-24,975.72
682,416,2026-04-16,3059.76
683,146,2024-06-06,5882.2
684,212,2025-07-24,7214.4
685,733,2025-03-24,807.44
686,863,2026-05-07,2941.32
687,56,2024-07-18,389.02
688,609,2026-03-10,1328.44
689,434,2025-04-11,8847.18
690,233,2026-06-27,4652.48
691,461,2026-02-10,1460.78
692,843,2024-12-02,8207.91
693,178,2026-04-03,1703.78
694,754,2024-07-01,3332.24
695,81,2024-01-05,273.66
696,649,2025-05-09,1466.92
697,68,2025-01-14,4290.6
698,55,2024-05-02,4115.58
699,34,2026-08-27,2292.09
700,725,2024-02-08,3035.4
701,517,2025-07-28,6247.54
702,622,2024-09-11,2815.48
703,140,2024-10-15,4894.7
704,830,2024-07-24,1928.77
705,728,2025-01-14,3290.82
706,440,2025-10-12,239.83
707,810,2024-11-10,2079.86
708,129,2025-12-04,3642.05
709,264,2025-03-12,3118.45
710,44,2026-02-04,1926.2
711,149,2025-03-09,1151.64
712,758,2024-12-22,3751.78
713,369,2025-05-09,3021.21
714,581,2025-10-31,4491.83
715,794,2025-03-28,1644.61
716,688,2026-06-02,5483.2
717,360,2025-05-18,949.51
718,314,2024-10-15,569.2
719,98,2024-01-28,8906.54
720,747,2025-01-17,1023.82
721,887,2024-02-23,3781.02
722,451,2024-02-04,2529.62
723,450,2024-12-27,9072.19
724,764,2024-10-10,5659.94
725,309,2026-05-12,594.51
726,366,2025-12-12,11178.56
727,805,2026-02-10,7332.41
728,342,2025-06-15,2239.13
729,835,2024-04-17,937.17
730,146,2026-04-09,4015.07
731,448,2025-04-27,4213.07
732,441,2025-02-22,315.9
733,277,2025-08-12,3770.09
734,867,2024-06-08,6865.9
735,435,2025-04-14,3592.55
736,792,2025-08-13,3090.29
737,198,2025-11-11,2757.32
738,315,2025-05-02,1440.49
739,431,2026-08-30,7988.24
740,508,2026-08-23,2365.23
741,207,2024-04-04,4012.12
742,282,2024-03-21,728.36
743,560,2025-05-17,2990.37
744,251,2026-03-18,5093.45
745,684,2025-05-14,2311.28
746,430,2024-07-30,2377.08
747,873,2025-07-02,3283.83
748,214,2026-07-08,4925.59
749,759,2024-06-11,3746.27
750,442,2025-03-10,14325.85
751,78,2025-09-14,8914.18
752,635,2025-01-18,1893.93
753,191,2024-02-13,7650.17
754,125,2025-10-14,306.83
755,479,2025-12-23,2516.71
756,708,2025-09-30,530.23
757,232,2025-10-08,5390.69
758,561,2025-10-02,2312.15
759,13,2024-11-18,869.48
760,167,2024-01-17,6333.19
761,680,2026-08-22,1025.44
762,12,2024-07-18,5850.1
763,322,2026-03-19,4122.86
764,458,2025-06-11,2743.44
765,60,2025-06-10,7020.47
766,881,2024-01-21,1272.17
767,458,2026-08-23,391.93
768,305,2025-05-30,950.39
769,880,2026-03-20,14190.2
770,503,2026-01-28,1460.04
771,611,2024-05-14,2187.24
772,82,2026-07-12,10476.41
773,143,2025-07-30,2190.37
774,41,2024-06-29,5516.27
775,463,2025-07-20,11390.32
776,753,2025-08-23,4803.37
777,812,2025-09-28,3209.58
778,517,2024-11-09,6499.86
779,49,2026-07-06,160.31
780,564,2024-08-18,2162.07
781,575,2025-04-24,9030.23
782,538,2026-03-28,1480.5
783,650,2024-03-16,3730.36
784,502,2025-01-28,5570.57
785,634,2025-04-12,2454.6
786,438,2026-01-23,5630.98
787,136,2026-02-07,4147.51
788,72,2026-02-16,6597.61
789,817,2024-12-15,4150.93
790,397,2025-04-24,241.15
791,291,2024-01-27,1617.43
792,264,2026-03-13,1051.92
793,47,2024-10-22,10261.25
794,851,2025-03-31,898.08
795,75,2025-10-27,2414.87
796,198,2026-01-27,4582.15
797,412,2024-03-24,1945.87
798,323,2026-01-18,2285.9
799,36,2025-01-01,4150.94
800,297,2025-02-11,1479.65
801,702,2024-05-09,3713.49
802,226,2025-11-29,6328.63
803,780,2025-04-09,1737.72
804,325,2024-04-11,1004.96
805,13,2024-05-17,11988.36
806,99,2025-12-04,12118.6
807,730,2024-04-16,3082.81
808,365,2025-05-23,3613.95
809,884,2025-11-11,3585.04
810,710,2026-06-08,2138.55
811,28,2024-06-03,3008.81
812,282,2024-10-15,249.23
813,653,2024-05-30,659.92
814,57,2026-05-07,2299.72
815,900,2025-07-31,1755.07
816,150,2026-08-16,797.62
817,718,2024-02-12,2999.21
818,757,2025-11-19,5770.08
819,455,2024-02-02,1482.27
820,724,2024-04-16,4152.74
821,797,2025-02-24,2361.18
822,661,2024-12-23,6581.09
823,638,2024-12-21,586.72
824,350,2024-03-07,947.92
825,264,2025-06-15,2226.01
826,781,2024-11-28,1212.48
827,202,2026-08-26,8264.16
828,374,2026-02-08,636.58
829,462,2025-02-27,2148.73
830,352,2026-01-16,14046.95
831,336,2025-07-15,568.71
832,540,2025-04-27,3284.72
833,297,2026-06-15,2406.1
834,890,2025-07-26,4702.52
835,161,2025-04-16,4299.58
836,351,2025-07-06,4060.98
837,761,2026-01-31,6950.93
838,428,2025-12-23,6806.91
839,635,2025-06-18,1731.58
840,583,2024-06-21,1661.46
841,299,2025-09-13,5557.56
842,670,2025-02-23,3737.9
843,214,2026-06-28,4384.1
844,675,2026-06-04,3330.35
845,116,2024-01-01,1999.37
846,625,2026-09-01,5322.62
847,102,2026-05-28,1405.89
848,782,2026-06-03,14276.1
849,563,2025-04-30,13255.92
850,37,2024-09-20,16735.44
851,98,2025-08-14,3961.57
852,169,2026-05-10,2274.63
853,865,2025-03-14,9825.22
854,531,2026-08-18,3400.64
855,252,2024-09-11,6573.97
856,250,2026-04-11,6536.49
857,24,2024-03-05,1450.38
858,183,2026-03-29,5217.12
859,770,2026-07-10,6302.83
860,539,2025-11-15,3032.66
861,331,2025-08-31,650.21
862,20,2025-02-05,10003.23
863,309,2026-05-01,14038.73
864,345,2024-05-03,3602.13
865,107,2024-10-10,2491.07
866,547,2024-05-07,3783.66
867,595,2024-09-28,2117.25
868,899,2025-05-25,497.92
869,323,2024-11-23,7030.06
870,249,2025-02-14,5454.89
871,741,2024-08-13,1842.94
872,316,2024-12-09,12056.79
873,568,2025-04-30,3164.96
874,664,2024-07-27,3663.61
875,792,2026-07-01,2759.87
876,287,2026-05-24,7821.07
