CARD_ID,CUSTOMER_ID,CARD_TYPE,CREDIT_LIMIT,ISSUE_DATE,EXPIRY_DATE
186,313,Credit,300000,2020-12-29,2028-10-30
187,20,Credit,500000,2023-05-20,2026-07-27
188,294,Debit,200000,2018-06-02,2027-02-23
189,450,Credit,500000,2023-03-14,2027-01-15
190,208,Prepaid,500000,2018-09-12,2027-02-16
191,230,Credit,200000,2022-09-05,2028-10-07
192,379,Debit,100000,2020-09-04,2029-08-01
193,360,Debit,50000,2020-11-28,2028-11-04
194,542,Credit,300000,2019-12-08,2027-12-16
195,149,Debit,200000,2020-10-28,2026-08-24
196,166,Credit,50000,2024-02-15,2026-07-28
197,94,Debit,50000,2023-09-01,2029-04-05
198,399,Credit,500000,2020-05-20,2028-09-17
199,321,Credit,100000,2020-01-22,2028-01-17
200,209,Debit,100000,2021-07-26,2028-04-23
201,418,Debit,300000,2022-10-18,2029-05-25
202,227,Credit,100000,2019-04-12,2029-04-04
203,118,Debit,500000,2023-02-01,2026-05-08
204,324,Debit,300000,2024-08-23,2027-08-01
205,262,Credit,100000,2023-12-01,2026-03-04
206,244,Debit,100000,2021-11-03,2027-07-17
207,267,Credit,500000,2020-03-29,2028-07-20
208,549,Debit,200000,2020-04-07,2026-11-01
209,130,Debit,500000,2023-03-13,2026-08-08
210,166,Credit,100000,2021-03-09,2027-12-19
211,340,Debit,50000,2018-09-30,2028-02-07
212,29,Debit,500000,2022-09-30,2028-11-10
213,88,Credit,100000,2018-12-20,2026-01-21
214,340,Credit,500000,2024-11-29,2026-12-29
215,306,Credit,300000,2020-12-03,2029-02-14
216,392,Credit,100000,2020-05-24,2028-09-24
217,69,Debit,300000,2018-05-22,2029-08-08
218,513,Debit,50000,2019-03-06,2029-04-06
219,292,Prepaid,100000,2024-08-21,2029-05-11
220,94,Credit,100000,2021-10-05,2028-01-17
221,187,Credit,300000,2024-04-26,2029-11-02
222,137,Debit,200000,2024-09-11,2027-09-01
223,272,Debit,300000,2018-05-06,2029-08-13
224,282,Debit,200000,2020-09-01,2027-07-27
225,261,Credit,300000,2023-11-15,2027-10-12
226,277,Credit,50000,2021-06-21,2028-09-29
227,545,Debit,300000,2021-07-25,2027-08-06
228,576,Debit,50000,2021-12-29,2026-08-04
229,294,Debit,50000,2022-12-01,2029-08-03
230,578,Debit,300000,2024-07-29,2027-10-25
231,492,Credit,50000,2024-03-18,2029-09-17
232,492,Credit,300000,2022-05-18,2027-08-07
233,136,Debit,50000,2022-01-15,2029-11-23
234,264,Credit,50000,2020-07-12,2028-05-31
235,212,Prepaid,500000,2018-10-25,2029-01-28
236,58,Debit,50000,2022-12-19,2029-01-09
237,46,Debit,500000,2018-01-07,2026-10-23
238,374,Debit,100000,2022-11-21,2029-04-07
239,253,Debit,300000,2021-06-25,2029-10-13
240,496,Credit,500000,2023-07-05,2028-08-24
241,402,Credit,50000,2024-08-25,2029-10-16
242,52,Debit,100000,2021-11-15,2029-05-21
243,503,Debit,200000,2022-01-04,2028-08-31
244,298,Credit,500000,2021-05-31,2027-11-29
245,340,Debit,50000,2020-08-11,2029-06-07
246,580,Credit,50000,2018-08-16,2026-09-29
247,385,Credit,100000,2018-03-21,2028-03-31
248,14,Credit,100000,2023-01-24,2029-04-07
249,107,Credit,100000,2024-05-29,2029-10-12
250,256,Credit,50000,2018-05-18,2027-01-26
251,23,Credit,500000,2020-04-16,2026-05-18
252,101,Debit,300000,2022-04-05,2027-05-03
253,476,Debit,50000,2022-12-08,2029-06-17
254,86,Debit,200000,2023-02-24,2028-02-05
255,101,Debit,300000,2022-11-11,2026-03-23
256,303,Debit,300000,2018-08-03,2026-06-24
257,55,Debit,500000,2019-10-12,2027-05-11
258,154,Debit,300000,2021-04-15,2027-05-17
259,563,Debit,300000,2018-06-13,2026-07-17
260,379,Debit,50000,2020-05-27,2027-12-24
261,579,Credit,50000,2020-09-11,2027-12-02
262,213,Credit,300000,2024-11-06,2026-10-19
263,370,Credit,500000,2020-03-22,2026-12-06
264,144,Credit,100000,2024-10-20,2028-08-29
265,228,Credit,300000,2022-11-27,2029-10-23
266,105,Credit,100000,2022-11-06,2029-12-27
267,500,Debit,200000,2023-09-29,2028-03-28
268,111,Prepaid,300000,2023-11-25,2026-02-26
269,123,Debit,300000,2019-07-24,2029-08-05
270,279,Credit,50000,2020-12-12,2029-10-21
271,258,Credit,500000,2021-09-13,2027-02-11
272,189,Debit,500000,2024-11-03,2027-08-09
273,215,Credit,200000,2018-04-14,2026-02-07
274,178,Debit,100000,2021-05-04,2029-03-17
275,548,Debit,200000,2019-07-03,2029-02-08
276,349,Debit,500000,2019-06-14,2026-01-31
277,552,Debit,200000,2023-05-03,2028-10-23
278,593,Debit,50000,2019-06-01,2027-08-26
279,391,Credit,50000,2023-07-23,2028-03-08
280,496,Credit,500000,2024-12-17,2026-11-16
281,67,Debit,300000,2023-06-10,2029-04-07
282,570,Credit,300000,2019-03-11,2027-08-15
283,290,Debit,50000,2018-12-31,2029-05-13
284,429,Debit,50000,2021-01-23,2026-08-05
285,148,Credit,100000,2021-11-10,2028-05-09
286,58,Prepaid,100000,2023-06-15,2027-03-30
287,531,Debit,100000,2020-12-17,2029-11-13
288,270,Debit,200000,2019-03-04,2028-03-25
289,84,Credit,100000,2024-12-11,2028-11-18
290,396,Credit,50000,2024-05-02,2026-05-07
291,33,Debit,200000,2022-08-01,2028-09-16
292,271,Debit,300000,2022-11-14,2026-05-28
293,423,Debit,300000,2024-07-20,2027-06-13
294,433,Credit,100000,2021-04-29,2026-11-22
295,272,Prepaid,100000,2019-01-07,2026-01-04
296,222,Credit,200000,2022-03-31,2028-05-07
297,504,Debit,50000,2021-02-27,2026-12-19
298,111,Credit,500000,2023-08-08,2028-01-20
299,45,Credit,500000,2023-05-28,2029-01-21
300,95,Debit,50000,2021-04-20,2026-09-18
301,481,Credit,500000,2020-07-29,2028-11-03
302,282,Debit,50000,2020-12-15,2027-03-11
303,23,Debit,200000,2022-06-06,2027-04-29
304,102,Credit,300000,2022-06-18,2028-04-23
305,17,Debit,100000,2021-08-01,2028-07-03
306,489,Prepaid,100000,2021-09-22,2028-08-16
307,277,Credit,50000,2024-12-12,2026-10-13
308,41,Debit,300000,2019-10-12,2028-04-27
309,133,Debit,50000,2019-03-21,2027-01-21
310,370,Credit,200000,2023-08-07,2027-02-09
311,357,Debit,100000,2024-07-20,2029-10-17
312,492,Credit,500000,2022-04-07,2026-05-28
313,16,Debit,500000,2020-10-24,2027-08-28
314,42,Debit,500000,2020-06-10,2027-10-05
315,22,Credit,300000,2021-04-12,2026-12-25
316,237,Debit,200000,2018-05-15,2029-02-22
317,437,Credit,100000,2021-09-14,2027-12-14
318,398,Credit,50000,2019-11-21,2028-11-17
319,127,Debit,500000,2019-11-10,2027-07-20
320,395,Credit,100000,2021-12-04,2029-08-04
321,394,Credit,200000,2024-10-01,2028-12-02
322,115,Credit,50000,2019-06-11,2027-05-03
323,450,Debit,100000,2024-05-20,2029-11-07
324,254,Debit,300000,2021-08-21,2029-06-18
325,36,Credit,200000,2024-10-24,2028-05-15
326,235,Credit,200000,2020-09-04,2026-01-25
327,462,Credit,100000,2024-12-25,2028-05-14
328,418,Credit,50000,2022-08-16,2028-10-07
329,162,Credit,500000,2022-09-10,2027-06-18
330,455,Debit,200000,2021-12-11,2026-07-30
331,234,Credit,100000,2021-03-01,2028-04-05
332,277,Debit,100000,2021-09-05,2029-03-17
333,52,Debit,300000,2023-12-17,2027-04-12
334,599,Credit,200000,2023-07-20,2027-10-30
335,504,Debit,100000,2018-03-02,2026-01-02
336,117,Debit,500000,2022-11-12,2028-10-26
337,337,Credit,500000,2023-11-05,2029-06-20
338,469,Credit,50000,2023-03-19,2029-02-09
339,303,Credit,300000,2021-06-26,2027-09-20
340,127,Prepaid,500000,2020-05-08,2026-03-07
341,582,Debit,200000,2022-09-19,2027-12-21
342,162,Credit,50000,2022-08-25,2029-10-06
343,201,Debit,50000,2020-08-14,2026-05-03
344,223,Debit,300000,2020-11-05,2026-11-09
345,535,Debit,500000,2020-07-31,2029-05-08
346,301,Debit,50000,2018-04-26,2028-04-10
347,432,Credit,200000,2018-03-23,2026-09-07
348,541,Debit,200000,2018-08-01,2026-02-05
349,558,Credit,100000,2020-12-20,2027-08-24
350,514,Debit,300000,2021-07-29,2028-05-19
351,545,Debit,500000,2020-11-10,2029-05-13
352,569,Prepaid,100000,2024-09-09,2029-07-16
353,595,Credit,50000,2019-07-30,2027-11-01
354,386,Prepaid,100000,2020-10-02,2027-09-10
355,80,Debit,100000,2019-09-25,2029-09-23
356,68,Debit,300000,2020-02-06,2029-02-09
357,478,Credit,200000,2022-02-03,2026-11-03
358,190,Credit,50000,2020-03-03,2028-09-23
359,483,Debit,100000,2020-03-23,2028-11-11
360,561,Credit,300000,2022-09-12,2026-12-08
361,387,Credit,200000,2023-10-25,2029-11-30
362,459,Credit,200000,2019-06-28,2027-03-10
363,168,Debit,100000,2018-10-12,2028-03-14
364,261,Credit,100000,2019-09-05,2027-12-23
365,580,Debit,50000,2022-01-17,2028-10-08
366,491,Prepaid,50000,2024-09-20,2029-08-11
367,123,Debit,50000,2019-02-14,2027-07-29
368,562,Debit,300000,2018-04-20,2027-07-17
369,300,Debit,50000,2021-09-13,2029-01-03
370,507,Credit,200000,2024-12-09,2029-10-24
371,313,Prepaid,500000,2021-11-14,2029-08-21
372,363,Credit,300000,2024-06-22,2029-01-05
373,98,Credit,200000,2022-07-01,2028-10-24
374,204,Prepaid,50000,2018-03-22,2029-01-28
375,434,Credit,200000,2020-12-29,2029-09-30
376,506,Debit,500000,2023-05-24,2026-01-16
377,54,Credit,100000,2021-07-27,2028-05-10
378,47,Debit,500000,2019-05-14,2026-02-19
379,416,Debit,300000,2019-04-08,2028-04-23
380,269,Debit,100000,2022-08-25,2027-08-01
381,510,Debit,50000,2021-03-30,2027-03-22
382,41,Prepaid,50000,2022-01-08,2029-07-26
383,210,Prepaid,100000,2020-08-12,2028-11-03
384,22,Debit,100000,2020-05-17,2028-04-09
385,426,Credit,300000,2022-08-31,2029-07-13
386,515,Debit,200000,2018-01-20,2026-05-24
387,95,Debit,200000,2021-01-17,2028-08-02
388,195,Debit,300000,2020-08-06,2026-08-17
389,508,Debit,300000,2023-06-17,2026-12-07
390,25,Debit,300000,2023-02-07,2026-09-28
391,572,Debit,500000,2020-12-25,2028-03-06
392,533,Debit,100000,2019-11-04,2028-07-08
393,92,Debit,500000,2019-08-27,2029-01-10
394,84,Prepaid,200000,2019-06-25,2027-10-07
395,416,Debit,50000,2019-12-02,2029-10-05
396,7,Debit,50000,2023-04-30,2027-07-01
397,304,Credit,50000,2018-04-26,2026-08-17
398,40,Debit,500000,2018-03-08,2026-02-23
399,319,Credit,50000,2021-10-13,2026-07-06
400,211,Debit,500000,2019-07-26,2027-10-13
401,424,Credit,300000,2023-10-27,2027-08-27
402,529,Credit,200000,2023-04-09,2029-06-02
403,294,Credit,500000,2023-05-22,2026-07-03
404,386,Credit,500000,2021-03-15,2027-01-19
405,361,Debit,500000,2021-01-24,2029-12-04
406,591,Debit,200000,2020-12-24,2026-02-11
407,139,Debit,100000,2019-05-17,2027-09-13
408,144,Credit,50000,2021-12-22,2026-10-17
409,228,Debit,500000,2024-01-18,2028-02-20
410,443,Debit,500000,2019-10-19,2029-11-24
411,520,Credit,200000,2018-05-26,2026-11-29
412,167,Debit,50000,2021-12-15,2027-06-26
413,66,Debit,500000,2020-10-18,2027-10-19
414,366,Credit,100000,2023-08-02,2029-03-13
415,359,Debit,200000,2024-01-01,2029-12-10
416,225,Credit,300000,2024-08-28,2026-05-22
417,111,Prepaid,50000,2020-10-02,2027-12-16
418,510,Prepaid,50000,2024-04-25,2029-01-05
419,508,Debit,50000,2018-10-29,2026-01-13
420,449,Debit,500000,2020-08-11,2029-03-24
421,348,Credit,500000,2019-11-12,2026-12-21
422,157,Credit,200000,2024-06-19,2028-01-28
423,242,Credit,200000,2022-03-15,2029-12-01
424,42,Debit,200000,2020-07-24,2028-07-17
425,150,Debit,100000,2019-01-24,2029-12-17
426,271,Debit,200000,2023-06-26,2028-06-01
427,263,Debit,100000,2022-08-03,2026-11-04
428,49,Debit,300000,2023-12-22,2028-10-09
429,575,Prepaid,100000,2021-01-25,2028-06-18
430,161,Debit,300000,2019-01-19,2027-03-31
431,306,Credit,500000,2020-05-05,2026-04-23
432,280,Prepaid,100000,2022-05-06,2028-08-05
433,282,Debit,50000,2019-09-09,2028-04-24
434,508,Credit,200000,2018-06-30,2029-02-05
435,448,Credit,50000,2023-10-08,2026-07-04
436,521,Debit,100000,2021-09-19,2028-02-27
437,228,Debit,300000,2020-10-11,2029-04-11
438,160,Credit,200000,2021-11-15,2029-07-27
439,257,Credit,200000,2023-03-05,2029-10-05
440,337,Credit,300000,2018-01-04,2026-11-06
441,203,Prepaid,50000,2021-01-31,2026-09-10
442,277,Debit,200000,2019-10-13,2028-04-22
443,91,Credit,50000,2018-08-23,2027-11-08
444,351,Credit,200000,2018-04-03,2026-12-09
445,429,Credit,100000,2021-01-31,2026-05-30
446,317,Credit,500000,2021-10-23,2026-07-29
447,524,Credit,100000,2021-07-22,2027-05-11
448,598,Credit,100000,2023-06-26,2028-12-17
449,544,Debit,50000,2021-03-17,2026-04-06
450,56,Credit,50000,2022-02-17,2026-06-03
451,529,Debit,100000,2023-09-19,2027-01-22
452,201,Credit,100000,2022-08-09,2029-07-01
453,272,Credit,300000,2024-05-18,2029-12-18
454,248,Credit,500000,2019-07-21,2027-10-06
455,171,Debit,500000,2023-07-06,2026-03-07
456,527,Credit,500000,2022-11-18,2026-01-18
457,383,Debit,500000,2022-01-30,2029-06-09
458,581,Debit,200000,2018-01-10,2027-10-13
459,573,Debit,100000,2021-10-17,2026-04-24
460,252,Prepaid,300000,2024-01-05,2029-05-03
461,437,Debit,100000,2022-07-07,2028-02-13
462,302,Prepaid,300000,2018-01-14,2027-05-27
463,297,Debit,500000,2020-01-07,2027-10-23
464,444,Credit,50000,2021-12-27,2026-11-26
465,414,Credit,300000,2023-09-08,2029-09-23
466,548,Credit,500000,2021-02-12,2029-02-25
467,464,Credit,200000,2024-01-01,2026-10-19
468,374,Credit,100000,2023-07-29,2028-12-10
469,552,Prepaid,100000,2019-11-15,2026-09-20
470,62,Credit,50000,2019-05-14,2027-10-25
471,458,Debit,100000,2024-04-28,2028-12-30
472,236,Debit,300000,2022-02-16,2026-02-23
473,260,Credit,200000,2023-12-12,2028-11-27
474,470,Debit,100000,2024-06-16,2026-11-27
475,165,Credit,200000,2020-12-21,2028-10-19
476,531,Credit,500000,2018-04-27,2027-12-31
477,300,Debit,50000,2024-05-14,2026-02-08
478,210,Credit,50000,2022-02-01,2029-01-18
479,197,Credit,500000,2018-11-05,2027-01-16
480,253,Credit,300000,2021-09-17,2029-10-24
481,566,Credit,200000,2018-03-13,2029-05-12
482,62,Credit,500000,2020-01-12,2026-10-09
483,305,Credit,200000,2020-06-08,2028-05-28
484,502,Prepaid,200000,2021-03-08,2027-06-14
485,284,Debit,100000,2021-12-17,2028-05-30
486,340,Credit,500000,2023-11-18,2028-03-25
487,209,Credit,300000,2020-06-17,2027-03-09
488,82,Debit,100000,2023-02-24,2028-08-10
489,384,Debit,300000,2024-08-06,2027-01-16
490,552,Credit,300000,2023-03-30,2029-08-19
491,313,Debit,50000,2019-10-14,2029-10-15
492,260,Prepaid,50000,2022-09-30,2026-08-31
493,78,Debit,200000,2019-12-21,2028-11-29
494,567,Debit,300000,2021-05-07,2029-09-20
495,522,Credit,300000,2022-06-12,2026-07-05
496,542,Debit,100000,2020-01-21,2028-12-17
497,216,Debit,500000,2018-01-10,2029-10-02
498,376,Credit,200000,2023-11-12,2026-11-26
499,260,Credit,100000,2023-02-05,2028-05-01
500,141,Debit,50000,2018-11-11,2029-03-12
501,124,Credit,500000,2020-08-23,2027-05-03
502,231,Credit,300000,2019-11-01,2026-12-14
503,333,Credit,200000,2024-11-06,2027-08-04
504,74,Debit,100000,2024-08-06,2027-05-06
505,422,Debit,50000,2022-11-04,2028-11-26
506,275,Prepaid,50000,2021-02-01,2027-06-27
507,529,Credit,50000,2018-05-14,2027-07-05
508,168,Debit,200000,2019-09-24,2029-10-12
509,31,Credit,50000,2018-08-25,2028-04-26
510,188,Debit,50000,2023-07-13,2029-09-20
511,584,Credit,100000,2018-08-14,2028-11-04
512,194,Credit,300000,2022-09-30,2029-07-18
513,423,Prepaid,200000,2024-09-02,2026-10-13
514,506,Prepaid,50000,2020-02-27,2029-10-03
515,171,Debit,300000,2022-10-16,2029-10-12
516,386,Credit,200000,2024-02-27,2026-03-01
517,123,Debit,50000,2020-12-29,2027-06-05
518,218,Credit,300000,2021-02-22,2027-08-28
519,178,Credit,500000,2019-05-28,2027-09-06
520,404,Debit,200000,2020-12-29,2029-02-12
521,526,Debit,50000,2024-02-13,2028-10-18
522,152,Debit,100000,2022-08-24,2026-11-08
523,175,Debit,200000,2019-05-31,2028-06-09
524,493,Debit,500000,2021-09-08,2029-11-25
525,278,Prepaid,500000,2022-12-13,2027-10-06
526,308,Credit,500000,2018-07-17,2029-09-19
527,424,Credit,500000,2023-05-07,2028-08-07
528,83,Credit,200000,2019-05-30,2029-09-14
529,524,Credit,300000,2020-01-24,2029-08-12
530,220,Debit,300000,2020-12-01,2026-01-25
531,396,Credit,300000,2021-07-15,2029-03-16
532,260,Credit,300000,2024-06-01,2026-10-04
533,452,Credit,50000,2019-07-25,2029-04-20
534,367,Prepaid,500000,2019-10-17,2029-03-27
535,104,Credit,50000,2020-08-27,2027-01-13
536,113,Credit,200000,2024-01-02,2026-04-07
537,527,Credit,200000,2024-10-04,2027-09-06
538,312,Debit,500000,2021-03-08,2027-03-19
539,166,Credit,50000,2022-11-09,2028-03-20
540,86,Debit,200000,2024-06-04,2026-04-30
541,78,Debit,100000,2023-12-06,2026-03-06
542,552,Credit,50000,2022-10-09,2027-10-02
543,586,Debit,100000,2021-10-14,2029-01-30
544,237,Prepaid,200000,2024-11-22,2027-04-06
545,121,Debit,500000,2019-09-04,2027-04-18
546,252,Credit,100000,2020-07-16,2026-08-28
547,82,Debit,500000,2022-12-29,2027-02-18
548,330,Prepaid,300000,2018-02-23,2027-03-13
549,376,Debit,500000,2021-07-04,2027-01-15
550,592,Debit,500000,2023-12-26,2027-05-18
551,192,Debit,300000,2019-03-29,2027-02-19
