CARD_TXN_ID,CARD_ID,TXN_DATE,AMOUNT,MERCHANT_CATEGORY,IS_FRAUD
232,278,2026-03-15,1236.95,Grocery,0
233,315,2025-07-13,1277.62,Grocery,0
234,594,2025-02-10,3501.86,Grocery,1
235,513,2026-06-20,1726.04,Online Retail,0
236,486,2024-09-15,3712.12,Entertainment,0
237,253,2025-10-25,701.4,Entertainment,0
238,492,2024-12-12,2898.19,Grocery,0
239,581,2026-07-20,5196.82,Entertainment,0
240,640,2025-06-17,2745.79,Fuel,0
241,442,2025-07-18,1865.54,Travel,0
242,611,2024-11-04,4068.05,Electronics,0
243,569,2024-01-21,100.61,Fuel,0
244,513,2026-08-24,5182.95,Electronics,0
245,376,2025-03-12,143.14,Online Retail,0
246,305,2025-10-06,5951.3,Electronics,0
247,447,2026-05-30,1788.78,Online Retail,0
248,620,2024-12-11,5559.71,Entertainment,0
249,371,2024-02-02,6668.96,Grocery,0
250,490,2026-01-31,1919.16,Electronics,0
251,398,2025-08-25,6250.47,Fuel,0
252,455,2025-09-19,3284.71,Fuel,0
253,483,2025-01-03,4039.51,Fuel,0
254,37,2026-06-04,7546.65,Electronics,0
255,85,2025-01-28,3633.72,Healthcare,0
256,28,2024-02-04,5570.96,Travel,0
257,539,2025-07-07,11886.31,Healthcare,0
258,627,2026-01-27,5530.48,Entertainment,0
259,249,2025-02-05,1737.41,Online Retail,0
260,54,2025-03-19,3387.33,Healthcare,0
261,9,2026-06-16,1267.65,Electronics,0
262,312,2025-07-27,3535.09,Travel,0
263,451,2024-10-23,2001.94,Fuel,0
264,234,2024-12-18,3867.08,Dining,0
265,430,2026-01-10,5632.81,Entertainment,0
266,108,2025-12-29,1216.34,Entertainment,0
267,509,2024-03-30,2816.1,Electronics,0
268,232,2026-01-24,877.65,Entertainment,0
269,699,2024-11-20,1292.09,Healthcare,0
270,539,2024-05-10,3258.98,Travel,0
271,324,2024-06-02,1849.7,Grocery,0
272,663,2026-05-10,8674.99,Dining,0
273,682,2024-08-02,258.92,Entertainment,0
274,139,2025-05-15,10141.28,Grocery,0
275,405,2025-07-04,5540.02,Entertainment,0
276,459,2025-05-01,4626.84,Electronics,0
277,251,2024-11-29,5236.74,Entertainment,0
278,700,2024-01-25,5143.33,Fuel,0
279,475,2024-02-17,1703.17,Travel,0
280,534,2025-04-14,5788.67,Online Retail,0
281,138,2026-04-21,3514.36,Healthcare,1
282,632,2026-04-01,342.32,Travel,0
283,677,2025-10-20,1316.09,Travel,0
284,634,2024-10-02,889.54,Online Retail,0
285,309,2026-07-20,2256.11,Grocery,0
286,654,2025-01-08,147.18,Online Retail,0
287,8,2026-02-19,5020.26,Dining,0
288,143,2024-05-13,5804.94,Travel,0
289,459,2025-06-29,1647.39,Healthcare,0
290,541,2024-08-01,3930.91,Fuel,0
291,85,2025-03-24,8942.39,Grocery,0
292,206,2026-02-01,1820.43,Entertainment,0
293,63,2026-07-11,1821.55,Dining,0
294,73,2024-03-07,2120.78,Grocery,0
295,17,2025-02-17,4674.79,Fuel,0
296,694,2024-03-11,1783.76,Travel,0
297,619,2025-06-15,2160.96,Healthcare,0
298,427,2026-08-28,4526.68,Online Retail,0
299,24,2024-11-21,4297.61,Electronics,0
300,512,2025-01-06,1554.04,Entertainment,0
301,377,2024-09-30,843.57,Grocery,0
302,544,2026-04-06,1909.51,Travel,0
303,343,2026-04-04,2389.72,Electronics,0
304,6,2026-02-28,3310.97,Electronics,0
305,638,2024-08-28,2773.36,Fuel,0
306,616,2024-07-29,608.86,Healthcare,0
307,638,2024-05-20,1739.69,Fuel,0
308,464,2024-07-03,167.04,Grocery,0
309,645,2025-12-10,3294.93,Travel,0
310,50,2025-06-18,791.66,Fuel,0
311,281,2026-03-31,404.78,Fuel,0
312,225,2025-10-03,2001.78,Dining,0
313,332,2026-06-23,3779.99,Travel,0
314,29,2024-02-21,2703.12,Electronics,0
315,578,2025-10-12,9717.0,Grocery,0
316,210,2024-04-25,260.62,Grocery,0
317,85,2024-12-05,236.75,Grocery,0
318,139,2025-03-18,1426.54,Healthcare,0
319,81,2025-05-12,5599.78,Fuel,0
320,481,2024-07-24,1567.88,Healthcare,0
321,646,2024-06-30,979.45,Entertainment,0
322,59,2024-05-24,4006.94,Grocery,0
323,21,2024-07-25,1750.45,Dining,0
324,617,2025-11-04,7385.19,Travel,0
325,269,2026-05-23,2068.19,Fuel,0
326,85,2024-11-28,5676.8,Online Retail,0
327,137,2026-04-07,2245.58,Healthcare,0
328,474,2026-03-05,3799.34,Dining,0
329,59,2024-09-29,6401.02,Fuel,0
330,282,2024-07-06,234.05,Grocery,0
331,682,2025-01-05,124.35,Grocery,0
332,302,2024-04-23,289.3,Travel,0
333,117,2026-07-23,845.52,Dining,0
334,532,2026-03-02,6635.78,Dining,0
335,303,2025-01-17,10788.01,Grocery,0
336,279,2025-05-12,2408.89,Electronics,0
337,180,2024-11-15,1673.2,Entertainment,0
338,528,2024-01-03,3629.35,Grocery,0
339,344,2024-07-14,1203.76,Entertainment,0
340,339,2024-02-17,3444.05,Online Retail,0
341,537,2025-02-01,6422.91,Electronics,0
342,255,2025-02-10,3658.58,Healthcare,0
343,462,2024-12-20,717.02,Fuel,0
344,121,2025-10-31,2326.21,Fuel,0
345,401,2025-12-17,11787.35,Grocery,0
346,301,2025-06-21,4037.01,Fuel,0
347,358,2024-12-04,1519.32,Electronics,0
348,256,2024-12-06,1165.26,Travel,0
349,93,2025-03-22,1469.04,Grocery,0
350,645,2025-12-16,5135.73,Healthcare,0
351,282,2024-11-09,3196.73,Grocery,0
352,524,2025-11-26,811.56,Fuel,0
353,634,2024-11-07,6120.55,Online Retail,0
354,311,2025-06-14,11507.17,Dining,0
355,575,2024-09-01,3351.35,Dining,0
356,308,2024-03-28,7104.16,Travel,0
357,46,2025-04-30,672.76,Online Retail,0
358,618,2025-11-18,2172.93,Online Retail,0
359,589,2025-02-22,572.55,Entertainment,0
360,397,2026-01-28,5323.29,Grocery,0
361,580,2024-02-26,2610.13,Entertainment,0
362,469,2024-02-14,124.8,Dining,0
363,562,2026-06-26,688.4,Grocery,0
364,40,2025-07-06,2312.21,Entertainment,0
365,571,2024-12-06,296.63,Dining,0
366,151,2025-09-21,747.82,Online Retail,0
367,689,2026-01-08,6643.89,Entertainment,0
368,677,2026-05-10,1111.32,Online Retail,0
369,39,2026-06-03,3311.56,Entertainment,0
370,457,2024-12-09,5851.32,Travel,0
371,269,2024-01-12,4985.19,Online Retail,0
372,179,2025-02-01,9220.99,Grocery,0
373,678,2024-04-30,6237.36,Travel,0
374,281,2025-05-18,3203.14,Electronics,0
375,387,2024-07-04,368.03,Dining,0
376,220,2025-10-15,2425.45,Grocery,0
377,478,2026-05-13,5022.47,Travel,0
378,177,2024-07-14,922.56,Grocery,0
379,254,2025-06-16,6724.97,Travel,0
380,494,2026-07-22,2615.85,Grocery,0
381,149,2024-10-30,4998.79,Travel,0
382,550,2026-02-10,4969.54,Healthcare,0
383,685,2024-02-13,5178.58,Online Retail,0
384,493,2025-09-11,1557.12,Grocery,0
385,254,2024-02-04,9322.76,Online Retail,1
386,128,2024-03-11,7807.57,Entertainment,0
387,393,2025-07-17,2940.31,Fuel,0
388,307,2026-04-30,630.09,Travel,0
389,171,2025-11-16,1632.19,Entertainment,0
390,257,2025-02-06,1551.5,Entertainment,0
391,677,2025-01-10,329.54,Healthcare,0
392,119,2025-04-04,1216.13,Dining,0
393,181,2024-10-07,2246.49,Dining,0
394,245,2024-01-16,2784.17,Travel,0
395,640,2026-02-25,1934.17,Healthcare,0
396,251,2025-05-31,427.61,Healthcare,0
397,205,2026-04-23,7936.49,Electronics,0
398,209,2025-07-20,2164.25,Dining,0
399,663,2025-01-08,3234.56,Dining,0
400,248,2024-02-29,759.73,Healthcare,0
401,258,2025-12-30,2581.91,Grocery,0
402,256,2025-08-14,1530.55,Dining,0
403,611,2026-04-27,6703.89,Entertainment,0
404,498,2024-08-26,6768.17,Fuel,0
405,420,2025-01-06,593.79,Travel,1
406,150,2024-08-23,1064.15,Entertainment,0
407,80,2024-06-05,790.14,Grocery,0
408,62,2026-05-18,6529.33,Dining,0
409,207,2024-12-25,9095.14,Healthcare,0
410,555,2024-01-05,2065.02,Dining,0
411,533,2024-03-01,5476.39,Entertainment,0
412,548,2024-11-27,5104.78,Healthcare,0
413,468,2024-02-04,5021.47,Healthcare,0
414,361,2026-05-15,689.99,Dining,0
415,250,2026-03-15,1600.21,Travel,0
416,509,2026-06-02,3567.38,Online Retail,0
417,137,2026-04-11,1495.98,Entertainment,0
418,48,2024-02-17,9139.07,Fuel,0
419,581,2025-09-23,1309.1,Travel,0
420,333,2026-04-12,1666.62,Entertainment,0
421,436,2026-04-15,325.22,Electronics,0
422,670,2025-03-24,1599.29,Electronics,0
423,478,2026-07-01,4349.37,Electronics,0
424,536,2024-06-12,6444.09,Electronics,0
425,336,2025-10-31,10733.59,Grocery,0
426,223,2024-09-17,8669.56,Travel,0
427,246,2026-06-07,1402.12,Fuel,0
428,631,2026-05-23,1724.01,Entertainment,0
429,268,2026-06-15,2885.06,Online Retail,0
430,654,2024-03-02,2080.78,Online Retail,0
431,22,2024-09-24,3992.07,Fuel,0
432,205,2025-01-15,9915.84,Healthcare,0
433,661,2026-07-15,5935.36,Fuel,0
434,406,2025-10-09,4517.97,Healthcare,0
435,257,2026-08-17,3130.93,Online Retail,0
436,123,2026-04-25,1061.74,Electronics,0
437,339,2024-09-29,274.72,Healthcare,0
438,671,2024-07-03,944.7,Online Retail,0
439,251,2025-09-03,7639.16,Travel,0
440,338,2026-02-02,436.4,Healthcare,0
441,249,2024-08-02,7744.9,Dining,0
442,603,2025-10-16,7527.0,Grocery,0
443,480,2025-01-18,1360.79,Entertainment,0
444,432,2026-01-31,4630.57,Dining,0
445,470,2025-08-31,1049.65,Travel,0
446,289,2025-11-10,2419.65,Dining,0
447,568,2024-02-06,4459.89,Grocery,0
448,430,2026-04-01,5687.66,Entertainment,0
449,51,2025-09-22,3573.66,Travel,0
450,262,2024-07-14,2897.19,Dining,0
451,612,2025-04-18,2721.46,Online Retail,0
452,179,2024-09-29,2125.38,Dining,0
453,670,2024-04-30,720.16,Grocery,0
454,571,2025-04-08,5101.41,Dining,0
455,693,2025-10-29,1574.11,Electronics,0
456,559,2026-02-04,549.59,Travel,0
457,91,2026-07-07,820.21,Dining,0
458,134,2025-09-04,3271.21,Grocery,0
459,341,2024-01-03,4873.56,Dining,0
460,251,2025-01-23,3162.84,Electronics,0
461,658,2025-03-02,2338.2,Entertainment,0
462,595,2026-08-15,2550.14,Dining,0
463,532,2024-05-02,1091.33,Fuel,0
464,659,2026-05-11,6237.02,Grocery,0
465,43,2024-07-20,840.41,Entertainment,0
466,492,2025-10-14,3665.62,Grocery,0
467,610,2025-04-24,5882.7,Dining,0
468,683,2026-08-05,3378.53,Online Retail,0
469,587,2024-10-11,4564.1,Fuel,0
470,567,2025-04-08,1216.45,Fuel,0
471,547,2025-09-24,3555.04,Fuel,0
472,90,2024-07-01,5584.82,Travel,0
473,289,2024-09-14,5133.7,Electronics,0
474,614,2026-01-01,5639.35,Entertainment,0
475,443,2026-01-26,1986.41,Grocery,0
476,183,2025-10-19,6524.23,Electronics,0
477,502,2024-06-27,3032.49,Travel,0
478,19,2024-07-28,1876.43,Travel,0
479,278,2026-06-03,9212.1,Grocery,0
480,528,2026-05-27,173.67,Online Retail,0
481,549,2025-01-25,2818.62,Online Retail,0
482,357,2025-06-21,1302.68,Electronics,0
483,192,2024-02-24,5107.38,Healthcare,0
484,348,2025-10-01,1184.85,Travel,0
485,129,2024-04-07,342.94,Travel,0
486,656,2024-03-24,1744.23,Dining,0
487,602,2025-06-03,1947.1,Electronics,0
488,506,2026-04-08,1461.4,Healthcare,0
489,238,2026-06-07,567.57,Electronics,0
490,101,2025-02-22,2315.65,Healthcare,0
491,40,2025-05-17,239.1,Fuel,0
492,269,2025-06-14,2311.95,Electronics,0
493,583,2025-03-14,2410.05,Dining,0
494,259,2025-12-04,8468.73,Healthcare,0
495,560,2026-01-23,3253.63,Entertainment,0
496,124,2025-03-29,262.28,Travel,0
497,562,2024-08-09,4054.5,Entertainment,0
498,54,2026-03-28,9540.6,Fuel,0
499,239,2025-10-21,1199.82,Entertainment,0
500,106,2025-02-01,2419.59,Dining,0
501,423,2024-07-31,1971.39,Online Retail,0
502,132,2025-02-01,2556.9,Online Retail,0
503,10,2026-04-04,2474.41,Healthcare,0
504,226,2024-11-18,2379.22,Dining,0
505,2,2026-05-09,1351.19,Healthcare,0
506,266,2024-08-28,2127.0,Electronics,0
507,182,2024-07-08,2823.94,Travel,0
508,654,2024-03-04,3111.54,Grocery,0
509,368,2024-05-19,3605.93,Fuel,0
510,308,2024-09-11,7180.0,Dining,0
511,421,2025-12-06,4538.01,Fuel,0
512,96,2025-05-31,3122.28,Dining,0
513,94,2025-09-28,1906.92,Fuel,0
514,108,2024-04-05,12930.5,Fuel,0
515,608,2025-08-29,246.3,Dining,0
516,522,2025-09-25,3567.1,Entertainment,0
517,672,2025-05-11,5281.96,Electronics,0
518,569,2025-09-14,2847.93,Fuel,0
519,84,2024-05-05,1263.8,Healthcare,0
520,116,2025-04-27,4008.44,Online Retail,0
521,577,2025-12-02,813.44,Electronics,0
522,383,2024-05-14,5309.89,Online Retail,0
523,430,2024-06-07,713.9,Travel,0
524,164,2025-12-30,7789.19,Dining,0
525,352,2025-06-13,4020.72,Healthcare,0
526,632,2024-08-05,2977.62,Dining,0
527,343,2024-12-03,2247.99,Entertainment,0
528,482,2026-05-08,2511.22,Fuel,0
529,525,2024-11-19,934.14,Entertainment,0
530,648,2024-12-15,2790.14,Online Retail,0
531,147,2026-03-22,1744.64,Entertainment,0
532,638,2024-07-17,1585.46,Travel,0
533,427,2025-03-20,12299.97,Electronics,0
534,584,2024-10-31,1781.75,Entertainment,0
535,183,2025-04-26,2058.67,Fuel,0
536,83,2024-09-14,6251.07,Entertainment,0
537,60,2026-05-23,927.19,Electronics,0
538,269,2024-05-13,7629.6,Entertainment,0
539,388,2025-06-28,1986.26,Dining,0
540,202,2025-09-10,1113.27,Grocery,0
541,189,2026-02-20,236.41,Online Retail,0
542,572,2024-04-05,6878.23,Fuel,0
543,520,2026-04-21,1481.78,Entertainment,0
544,445,2024-08-31,1931.36,Online Retail,0
545,456,2025-11-08,1964.56,Entertainment,0
546,593,2024-02-21,1476.75,Entertainment,0
547,158,2024-05-20,3990.73,Fuel,0
548,658,2025-06-01,12858.36,Online Retail,0
549,604,2024-04-26,8146.56,Dining,0
550,241,2025-03-11,2915.63,Healthcare,0
551,243,2025-02-27,5352.65,Travel,0
552,130,2025-04-07,10009.88,Entertainment,0
553,497,2024-03-02,6051.66,Fuel,0
554,213,2025-12-15,3069.09,Entertainment,0
555,188,2024-10-20,4051.91,Grocery,0
556,471,2025-11-29,7706.51,Travel,0
557,138,2024-07-22,138.0,Dining,0
558,80,2024-07-22,2230.35,Online Retail,0
559,603,2024-02-07,73.37,Electronics,0
560,28,2026-04-13,658.35,Travel,0
561,644,2025-01-24,2045.38,Grocery,0
562,479,2024-05-11,9329.03,Travel,0
563,247,2024-08-30,6975.14,Entertainment,0
564,395,2024-05-13,1113.29,Entertainment,0
565,221,2024-04-09,4022.65,Travel,0
566,287,2024-03-12,861.94,Online Retail,0
567,492,2025-12-13,2929.53,Dining,1
568,637,2025-07-22,8426.01,Travel,0
569,160,2026-06-08,546.74,Online Retail,0
570,374,2026-08-08,3498.1,Travel,0
571,605,2025-08-28,5198.97,Fuel,0
572,10,2025-06-09,1400.53,Grocery,0
573,6,2026-06-25,3468.77,Entertainment,0
574,431,2026-07-08,1065.47,Entertainment,0
575,100,2024-06-11,3081.95,Entertainment,0
576,696,2025-08-06,3082.13,Dining,0
577,85,2026-01-18,431.42,Travel,0
578,517,2026-04-30,316.56,Fuel,0
579,223,2025-02-02,235.01,Dining,0
580,647,2025-09-13,4258.26,Travel,0
581,607,2025-04-22,3648.77,Electronics,0
582,559,2025-09-05,2795.95,Travel,0
583,449,2025-10-09,2108.73,Entertainment,0
584,152,2025-07-22,5562.35,Online Retail,0
585,76,2026-02-02,1856.09,Grocery,0
586,184,2024-03-12,1188.27,Electronics,0
587,56,2024-02-28,634.42,Healthcare,0
588,550,2026-03-24,2625.44,Travel,0
589,202,2025-01-13,3218.86,Healthcare,1
590,309,2025-01-10,2491.32,Online Retail,0
591,434,2026-01-15,4962.64,Entertainment,0
592,492,2025-06-17,1923.32,Entertainment,0
593,416,2025-06-05,15312.46,Online Retail,0
594,516,2026-06-29,2638.13,Healthcare,0
595,80,2024-11-29,1573.15,Fuel,0
596,196,2024-09-13,1738.75,Entertainment,0
597,533,2024-02-09,3717.49,Fuel,0
598,503,2026-07-08,12713.85,Grocery,0
599,443,2024-01-08,1207.75,Electronics,0
600,658,2025-02-10,4568.78,Dining,0
601,689,2025-02-18,3498.35,Electronics,0
602,59,2026-06-22,8628.69,Electronics,0
603,387,2025-04-16,1133.44,Healthcare,0
604,631,2024-01-07,4055.62,Grocery,0
605,230,2024-08-11,6198.48,Fuel,0
606,42,2025-05-12,4502.54,Healthcare,0
