ACCOUNT_ID,CUSTOMER_ID,ACCOUNT_TYPE,STATUS,BALANCE,OPEN_DATE
110,99,Fixed Deposit,Active,24732.98,2018-07-10
111,248,Savings,Closed,8832.44,2015-10-13
112,392,Fixed Deposit,Dormant,49706.09,2022-09-04
113,243,Fixed Deposit,Active,23604.33,2025-02-23
114,146,Savings,Active,52596.26,2026-05-20
115,555,Salary,Closed,70602.64,2024-02-20
116,43,Savings,Active,53152.3,2023-11-05
117,148,Salary,Active,31159.88,2025-01-24
118,596,Fixed Deposit,Closed,20692.89,2023-10-16
119,438,Savings,Active,14899.84,2022-06-05
120,53,Current,Dormant,93449.25,2026-05-17
121,453,Savings,Active,51500.52,2018-09-06
122,582,Fixed Deposit,Active,32579.82,2019-09-18
123,59,Fixed Deposit,Dormant,64268.14,2025-05-07
124,249,Current,Active,83589.27,2018-07-20
125,281,Fixed Deposit,Active,24020.73,2018-05-30
126,79,Savings,Active,50384.72,2016-09-26
127,121,Savings,Active,51125.25,2018-02-22
128,105,Savings,Active,106944.99,2021-10-11
129,112,Savings,Active,32222.15,2025-02-13
130,243,Savings,Active,20049.92,2016-07-22
131,279,Savings,Active,54460.81,2022-10-10
132,143,Savings,Active,68003.05,2023-10-01
133,174,Savings,Dormant,47431.36,2025-03-23
134,116,Fixed Deposit,Active,111792.08,2023-07-25
135,478,Savings,Active,32141.94,2016-10-12
136,128,Fixed Deposit,Active,48296.02,2020-07-31
137,545,Savings,Active,11428.32,2025-11-15
138,324,Savings,Active,19087.27,2025-05-16
139,482,Current,Active,24150.18,2021-12-30
140,382,Savings,Active,36448.85,2025-12-30
141,160,Savings,Closed,13327.24,2022-08-17
142,361,Current,Dormant,63639.51,2015-09-28
143,165,Savings,Active,22383.37,2025-06-08
144,72,Savings,Dormant,160550.23,2016-12-02
145,153,Current,Closed,23059.5,2019-05-07
146,166,Savings,Active,44713.04,2017-09-19
147,82,Fixed Deposit,Active,40662.87,2023-03-20
148,15,Savings,Active,17680.27,2015-05-06
149,567,Salary,Active,36557.04,2022-04-24
150,309,Fixed Deposit,Active,36210.71,2024-11-13
151,242,Salary,Active,77469.12,2023-12-29
152,558,Fixed Deposit,Active,55920.62,2018-07-04
153,135,Savings,Dormant,62992.72,2025-03-29
154,242,Current,Dormant,76323.29,2019-02-18
155,509,Savings,Active,63702.8,2022-10-06
156,380,Fixed Deposit,Active,50082.55,2020-10-13
157,240,Current,Active,23965.54,2015-10-10
158,154,Savings,Active,47800.93,2015-01-13
159,22,Salary,Closed,20326.92,2017-02-02
160,52,Savings,Dormant,38705.9,2025-09-02
161,98,Current,Closed,34973.55,2025-11-22
162,472,Fixed Deposit,Dormant,36704.4,2019-09-07
163,384,Savings,Closed,13456.04,2026-01-22
164,261,Current,Active,1437.4,2015-07-26
165,470,Fixed Deposit,Active,30157.36,2026-01-17
166,97,Savings,Active,88616.12,2017-08-20
167,127,Current,Active,44230.33,2015-06-03
168,236,Savings,Active,84337.4,2023-08-27
169,551,Current,Active,20443.88,2019-05-14
170,369,Savings,Closed,28984.65,2018-05-04
171,511,Salary,Active,166792.28,2023-09-03
172,149,Fixed Deposit,Closed,21524.79,2018-10-20
173,510,Savings,Dormant,62140.32,2023-08-06
174,44,Savings,Active,62072.53,2017-03-25
175,137,Current,Active,57393.25,2015-12-25
176,314,Fixed Deposit,Active,62689.02,2018-09-16
177,31,Savings,Active,21260.56,2021-12-16
178,515,Savings,Active,31315.72,2017-07-27
179,521,Savings,Closed,2206.36,2016-08-18
180,325,Salary,Active,109320.56,2023-07-21
181,184,Current,Active,62427.93,2020-08-18
182,60,Fixed Deposit,Active,24173.53,2019-12-05
183,372,Current,Active,20638.03,2017-09-26
184,323,Salary,Active,89648.44,2015-03-15
185,456,Savings,Active,22773.76,2015-08-10
186,362,Savings,Active,24110.43,2022-10-12
187,77,Salary,Active,17008.19,2015-11-30
188,74,Salary,Active,70717.99,2017-10-26
189,469,Savings,Active,83507.33,2025-05-26
190,96,Savings,Active,35138.61,2018-12-05
191,564,Current,Active,83872.82,2023-07-03
192,64,Savings,Active,54005.7,2018-12-02
193,438,Savings,Active,16087.62,2025-08-21
194,586,Fixed Deposit,Active,104131.5,2024-05-20
195,265,Savings,Active,16845.93,2020-05-13
196,35,Fixed Deposit,Active,37126.53,2022-10-24
197,527,Savings,Active,35217.75,2019-09-20
198,113,Savings,Active,30549.8,2025-10-13
199,317,Current,Closed,6017.13,2019-02-03
200,591,Savings,Active,144874.38,2024-07-20
201,447,Current,Closed,7025.86,2022-01-14
202,28,Savings,Active,108448.26,2022-05-08
203,493,Salary,Active,20033.33,2019-01-06
204,97,Fixed Deposit,Active,26087.2,2024-07-05
205,450,Fixed Deposit,Dormant,101498.58,2023-07-09
206,373,Savings,Dormant,58185.3,2024-04-22
207,173,Savings,Active,11823.37,2024-02-24
208,255,Savings,Dormant,11580.62,2016-10-19
209,71,Current,Active,52274.16,2024-12-31
210,593,Savings,Active,16580.65,2024-08-11
211,144,Savings,Active,60127.4,2017-10-09
212,186,Savings,Closed,64490.63,2026-03-17
213,302,Savings,Active,21925.4,2021-01-06
214,404,Savings,Dormant,27257.51,2018-09-04
215,304,Savings,Active,53502.8,2017-07-20
216,304,Savings,Active,21105.28,2019-03-01
217,350,Current,Active,44275.97,2015-06-06
218,515,Savings,Dormant,173326.9,2022-11-20
219,238,Savings,Active,55342.65,2023-01-30
220,500,Current,Active,30893.0,2022-08-16
221,473,Fixed Deposit,Active,154505.94,2021-04-08
222,577,Savings,Active,74222.68,2019-02-21
223,548,Current,Active,16949.07,2023-04-07
224,479,Salary,Active,19948.74,2024-12-12
225,149,Current,Active,7992.16,2016-01-01
226,465,Salary,Active,52806.84,2019-05-16
227,442,Fixed Deposit,Active,4794.76,2026-05-14
228,174,Savings,Closed,154382.7,2024-11-03
229,407,Savings,Active,33901.32,2026-05-09
230,152,Current,Closed,77385.83,2017-02-03
231,314,Salary,Closed,31533.49,2020-04-23
232,479,Current,Active,52141.53,2016-06-27
233,114,Savings,Active,37517.53,2024-11-20
234,203,Current,Active,43335.12,2020-12-03
235,478,Savings,Active,94164.04,2017-10-12
236,273,Fixed Deposit,Active,125422.34,2016-01-12
237,577,Current,Active,119064.36,2023-06-03
238,5,Fixed Deposit,Active,261503.76,2024-04-08
239,434,Fixed Deposit,Active,23143.18,2025-01-14
240,489,Current,Closed,55847.25,2026-02-02
241,551,Current,Active,23603.53,2024-04-20
242,95,Fixed Deposit,Active,91572.65,2023-12-23
243,591,Fixed Deposit,Closed,17710.07,2024-04-08
244,236,Fixed Deposit,Active,95269.08,2026-05-27
245,212,Savings,Active,48616.06,2020-04-14
246,214,Current,Dormant,39176.79,2023-08-30
247,383,Savings,Active,42679.64,2024-05-12
248,396,Fixed Deposit,Active,14945.3,2016-04-29
249,285,Current,Active,16159.45,2022-11-20
250,43,Savings,Closed,49255.0,2018-11-13
251,592,Savings,Active,49010.46,2016-07-06
252,134,Savings,Active,24522.34,2016-12-11
253,57,Fixed Deposit,Active,33609.82,2016-04-21
254,359,Savings,Active,59255.26,2025-04-01
255,248,Savings,Active,21005.81,2023-10-24
256,370,Fixed Deposit,Active,6985.35,2016-03-01
257,526,Fixed Deposit,Dormant,111942.77,2022-02-21
258,59,Savings,Active,51812.33,2022-07-16
259,171,Savings,Active,28343.93,2020-12-05
260,310,Salary,Active,23542.28,2021-12-02
261,473,Fixed Deposit,Active,20826.38,2025-05-11
262,361,Current,Active,91327.69,2020-12-03
263,230,Savings,Active,12631.08,2022-07-13
264,367,Savings,Active,55743.95,2021-07-09
265,588,Savings,Active,55709.69,2019-07-10
266,289,Fixed Deposit,Active,71609.72,2025-03-03
267,531,Savings,Active,30611.24,2019-09-23
268,468,Savings,Active,105659.12,2024-02-18
269,181,Fixed Deposit,Closed,73086.57,2021-11-28
270,150,Salary,Dormant,29776.58,2022-10-27
271,463,Fixed Deposit,Closed,22606.84,2023-09-06
272,125,Current,Closed,37598.31,2023-05-27
273,203,Current,Active,28970.93,2021-06-11
274,142,Savings,Closed,19506.34,2022-01-10
275,364,Savings,Active,44126.97,2020-10-22
276,177,Current,Active,33786.03,2018-11-15
277,396,Savings,Active,122648.03,2023-04-20
278,561,Current,Active,28932.6,2025-01-12
279,498,Fixed Deposit,Active,22430.62,2023-01-19
280,569,Salary,Active,41998.25,2023-10-25
281,15,Savings,Active,50619.79,2024-06-24
282,274,Savings,Dormant,53488.49,2019-03-12
283,133,Savings,Active,53110.1,2015-09-18
284,551,Savings,Active,43084.8,2018-11-08
285,428,Savings,Active,40747.92,2023-08-15
286,193,Savings,Active,64749.69,2024-04-24
287,339,Fixed Deposit,Active,17954.02,2020-11-12
288,364,Current,Active,22569.79,2023-11-21
289,298,Salary,Active,9636.44,2015-11-08
290,285,Savings,Active,18221.6,2022-05-10
291,34,Savings,Dormant,85315.94,2022-10-02
292,272,Savings,Dormant,62836.13,2020-10-18
293,209,Savings,Active,133515.74,2023-03-07
294,491,Savings,Active,113033.11,2020-08-11
295,520,Salary,Dormant,63215.63,2020-12-23
296,451,Savings,Active,46753.2,2021-11-23
297,19,Savings,Active,42610.96,2024-01-24
298,505,Current,Active,4427.05,2017-11-03
299,238,Current,Active,39103.38,2018-06-06
300,250,Current,Active,26072.4,2019-10-13
301,568,Savings,Active,18965.43,2017-04-21
302,521,Fixed Deposit,Active,56236.41,2018-10-25
303,31,Savings,Active,35549.98,2019-01-02
304,216,Savings,Active,44603.47,2018-08-03
305,450,Current,Active,16528.88,2019-09-06
306,324,Fixed Deposit,Closed,75271.07,2020-10-05
307,155,Savings,Active,28818.95,2022-12-12
308,315,Current,Active,54109.0,2018-06-17
309,520,Savings,Active,30837.37,2024-08-26
310,134,Savings,Dormant,3440.89,2020-06-22
311,448,Savings,Active,57875.27,2023-03-26
312,441,Fixed Deposit,Closed,37392.77,2016-04-23
313,532,Savings,Active,8936.05,2016-12-26
314,179,Fixed Deposit,Active,14700.23,2020-03-06
315,130,Savings,Active,76799.66,2019-03-08
316,329,Fixed Deposit,Active,9417.99,2020-08-30
317,319,Fixed Deposit,Dormant,28203.09,2016-10-22
318,246,Savings,Dormant,141226.45,2020-05-28
319,468,Savings,Active,58946.83,2022-11-03
320,480,Savings,Closed,69595.54,2023-04-26
321,148,Fixed Deposit,Active,33174.52,2017-10-31
322,478,Savings,Active,8104.24,2018-12-07
323,139,Current,Active,47834.82,2020-12-30
324,245,Savings,Active,15703.33,2020-11-29
325,17,Fixed Deposit,Dormant,14291.58,2024-01-15
326,205,Current,Active,43832.76,2019-06-16
327,576,Current,Active,16759.27,2022-08-29
328,266,Salary,Active,40121.36,2025-02-02
329,427,Savings,Active,23224.8,2018-05-29
330,65,Fixed Deposit,Active,39065.7,2024-05-24
331,382,Savings,Active,26716.92,2018-10-20
332,223,Current,Active,39901.71,2018-10-26
333,447,Fixed Deposit,Active,106857.33,2022-06-17
334,557,Current,Active,70698.31,2022-02-05
335,319,Current,Active,36569.57,2021-04-10
336,62,Savings,Active,95643.39,2017-08-22
337,286,Savings,Dormant,54671.47,2016-02-06
338,74,Savings,Closed,91239.08,2025-05-18
339,270,Current,Active,10563.74,2024-12-23
340,37,Current,Closed,16938.96,2025-02-14
341,385,Savings,Active,47420.68,2020-11-07
342,187,Savings,Active,35867.02,2025-02-05
343,121,Savings,Active,39974.49,2020-05-27
344,11,Savings,Active,61171.06,2015-11-11
345,533,Savings,Dormant,47773.58,2017-04-07
346,503,Fixed Deposit,Active,75459.57,2018-02-10
347,488,Current,Active,74039.42,2019-04-22
348,35,Savings,Active,17683.14,2025-09-20
349,210,Current,Active,3616.11,2018-10-19
350,583,Fixed Deposit,Active,16650.58,2021-12-29
351,348,Savings,Active,15664.35,2018-02-02
352,78,Savings,Active,42293.57,2022-05-06
353,85,Savings,Active,41884.4,2021-06-24
354,158,Savings,Active,34195.61,2016-09-19
355,584,Fixed Deposit,Active,56197.3,2020-04-11
356,102,Salary,Active,182964.75,2016-03-15
357,542,Savings,Active,33607.48,2025-02-24
358,407,Fixed Deposit,Active,48894.39,2023-01-15
359,554,Savings,Active,39967.63,2025-09-30
360,496,Current,Active,24757.49,2024-12-30
361,200,Fixed Deposit,Active,61575.11,2017-07-04
362,497,Savings,Active,32306.27,2023-01-28
363,102,Savings,Active,20469.21,2016-02-22
364,175,Current,Active,21840.85,2025-12-19
365,128,Salary,Closed,77342.93,2023-12-19
366,80,Savings,Dormant,60496.81,2022-10-08
367,55,Savings,Active,27117.95,2026-05-11
368,113,Savings,Active,55536.75,2024-09-01
369,73,Current,Active,40328.3,2024-11-10
370,229,Current,Closed,49517.27,2016-02-22
371,43,Fixed Deposit,Active,24213.23,2015-04-09
372,37,Fixed Deposit,Active,16128.09,2025-12-21
373,594,Fixed Deposit,Closed,32162.0,2017-11-13
374,53,Fixed Deposit,Active,18780.29,2019-11-14
375,45,Savings,Active,17549.6,2015-06-30
376,19,Current,Active,11205.64,2022-02-11
377,80,Savings,Active,3653.46,2024-05-15
378,317,Savings,Active,27517.66,2024-08-11
379,497,Salary,Active,87443.43,2021-08-21
380,441,Current,Closed,73043.6,2022-07-20
381,349,Salary,Closed,117678.81,2020-11-12
382,52,Savings,Active,16865.39,2020-02-04
383,465,Current,Active,64424.65,2021-05-01
384,23,Current,Active,36436.65,2025-09-07
385,379,Savings,Active,21872.97,2017-11-18
386,246,Savings,Active,80695.39,2020-05-14
387,530,Current,Active,36724.58,2021-11-13
388,185,Savings,Active,6971.68,2021-07-05
389,384,Salary,Active,72500.61,2015-05-08
390,264,Savings,Active,52809.41,2018-04-13
391,314,Savings,Active,44132.01,2022-05-17
392,564,Fixed Deposit,Active,13893.29,2022-12-04
393,428,Savings,Dormant,48058.87,2023-05-21
394,249,Salary,Active,107047.25,2026-04-27
395,269,Fixed Deposit,Dormant,51749.67,2022-09-07
396,423,Savings,Active,9597.15,2021-08-14
397,208,Current,Dormant,54643.76,2018-10-16
398,101,Current,Active,52145.27,2019-03-25
399,281,Fixed Deposit,Active,68164.4,2024-06-07
400,41,Fixed Deposit,Closed,51088.72,2020-05-08
401,102,Fixed Deposit,Active,17604.5,2023-03-03
402,253,Current,Active,42354.6,2016-06-01
403,478,Savings,Active,32610.39,2016-06-18
404,469,Current,Active,46234.69,2017-06-17
405,157,Salary,Active,82734.61,2017-03-24
406,254,Current,Active,23162.66,2021-12-06
407,93,Current,Dormant,129635.61,2022-04-10
408,454,Savings,Active,54387.96,2021-05-15
409,148,Fixed Deposit,Active,72788.41,2018-04-21
410,480,Salary,Active,66105.88,2021-08-01
411,506,Savings,Dormant,52813.91,2016-05-13
412,414,Savings,Active,60026.81,2020-05-25
413,199,Current,Active,367.15,2016-10-08
414,572,Current,Active,66018.32,2015-11-17
415,412,Current,Active,18879.04,2016-11-21
416,388,Savings,Dormant,38442.64,2016-04-08
417,514,Savings,Active,52545.79,2020-06-15
418,529,Current,Dormant,85286.13,2021-03-26
419,47,Current,Active,18884.16,2021-12-07
420,529,Current,Active,28086.79,2020-01-08
421,460,Fixed Deposit,Active,31277.93,2017-01-05
422,124,Current,Active,46653.54,2015-03-29
423,185,Fixed Deposit,Active,32846.41,2023-02-19
424,452,Current,Active,60219.56,2026-03-22
425,130,Current,Active,7291.81,2018-03-17
426,272,Current,Active,36125.35,2017-05-03
427,414,Savings,Active,114124.91,2018-07-23
428,391,Savings,Active,32915.66,2017-06-12
429,546,Current,Active,54536.39,2017-07-20
430,67,Fixed Deposit,Active,76462.81,2020-08-24
431,178,Current,Active,53262.33,2023-12-19
432,591,Savings,Active,137308.6,2023-02-18
433,342,Current,Active,43107.54,2025-12-16
434,150,Savings,Active,62369.86,2019-01-30
435,174,Fixed Deposit,Active,48091.87,2020-08-15
436,204,Fixed Deposit,Active,99113.71,2019-05-05
437,333,Current,Active,29218.46,2015-06-25
438,171,Current,Active,144619.59,2019-06-09
439,374,Savings,Active,23655.69,2017-12-22
440,268,Savings,Dormant,121414.41,2020-06-19
441,367,Fixed Deposit,Active,16959.34,2016-10-21
442,94,Fixed Deposit,Dormant,63794.78,2023-06-20
443,375,Current,Active,40328.36,2024-08-15
444,555,Savings,Active,75375.77,2025-12-20
445,82,Savings,Active,55507.29,2015-12-20
446,197,Savings,Active,72581.94,2016-05-05
447,417,Savings,Closed,16422.69,2026-01-13
448,371,Savings,Active,8816.12,2024-09-07
449,405,Salary,Closed,14041.77,2021-09-20
450,336,Current,Active,13706.68,2018-09-02
451,410,Savings,Dormant,16239.91,2020-11-28
452,366,Savings,Closed,25021.43,2021-02-11
453,45,Savings,Active,24835.97,2024-09-03
454,451,Fixed Deposit,Active,41057.0,2021-01-16
455,269,Savings,Active,20102.26,2015-04-25
456,31,Fixed Deposit,Active,21530.18,2022-12-27
457,246,Fixed Deposit,Closed,34497.4,2023-11-15
458,262,Savings,Active,82578.62,2018-05-27
459,53,Current,Active,28813.99,2016-05-01
460,598,Salary,Active,39019.44,2016-08-16
461,134,Savings,Active,43983.59,2024-08-07
462,199,Savings,Closed,18004.75,2020-02-10
463,265,Salary,Active,31131.25,2021-01-15
464,500,Fixed Deposit,Active,23027.48,2025-12-19
465,446,Current,Closed,77287.34,2015-09-12
466,463,Current,Active,72963.82,2017-05-08
467,143,Savings,Active,21078.11,2024-07-06
468,508,Fixed Deposit,Active,38450.41,2021-03-02
469,498,Current,Active,62404.58,2015-04-24
470,279,Savings,Active,51204.88,2023-01-10
471,328,Current,Dormant,55253.92,2016-07-31
472,23,Salary,Active,18104.01,2023-12-06
473,457,Fixed Deposit,Closed,118489.49,2024-02-09
474,577,Savings,Dormant,24615.2,2024-05-30
475,284,Savings,Dormant,24031.48,2020-04-22
476,325,Salary,Active,12458.58,2018-01-21
477,300,Salary,Active,35684.5,2025-01-23
478,50,Current,Active,88588.47,2021-05-19
479,372,Current,Active,50829.77,2022-04-03
480,433,Current,Active,37881.29,2016-07-23
481,557,Savings,Active,69319.73,2022-02-13
482,558,Savings,Active,87100.76,2021-08-15
483,296,Savings,Active,72851.54,2018-05-03
484,576,Savings,Active,6273.4,2023-10-03
485,318,Fixed Deposit,Active,69734.21,2016-07-11
486,386,Savings,Active,56832.0,2023-03-19
487,362,Savings,Dormant,20676.12,2025-12-22
488,600,Current,Active,57001.3,2021-06-23
489,443,Savings,Dormant,88709.39,2016-03-13
490,73,Savings,Dormant,25528.52,2021-04-26
491,44,Current,Active,76456.97,2021-01-14
492,246,Savings,Active,51647.09,2021-04-21
493,310,Current,Active,1027.66,2018-02-10
494,402,Salary,Active,40047.05,2022-02-23
495,289,Savings,Active,50161.52,2018-01-06
496,309,Salary,Active,32126.85,2021-05-15
497,554,Salary,Dormant,53055.2,2021-10-15
498,201,Fixed Deposit,Closed,36829.98,2022-05-17
499,297,Current,Dormant,163984.63,2024-02-10
500,335,Current,Active,30347.94,2025-01-28
501,281,Current,Active,21198.41,2023-11-15
502,581,Current,Closed,73811.79,2024-02-01
503,578,Savings,Active,33527.02,2024-12-01
504,308,Salary,Active,38375.37,2017-10-08
505,271,Current,Active,35888.79,2018-05-06
506,354,Fixed Deposit,Active,71010.7,2021-01-31
507,109,Savings,Active,16123.91,2020-04-26
508,256,Savings,Active,76351.34,2023-01-06
509,131,Current,Active,60194.08,2015-02-08
510,87,Current,Active,129904.72,2016-08-02
511,58,Savings,Active,47334.68,2023-07-12
512,353,Savings,Active,17240.21,2024-05-20
513,1,Savings,Active,47721.06,2018-06-14
514,388,Current,Dormant,52160.64,2018-07-20
515,260,Savings,Active,93950.35,2021-05-30
516,220,Salary,Active,17200.52,2020-06-12
517,462,Savings,Dormant,9606.67,2016-12-06
518,324,Savings,Active,48460.9,2020-09-17
519,441,Savings,Dormant,133636.29,2024-05-09
520,426,Current,Active,66537.05,2023-05-01
521,20,Current,Active,69265.83,2024-05-01
522,130,Current,Active,12131.93,2022-05-08
523,342,Salary,Active,42693.77,2025-01-06
524,586,Savings,Closed,95155.2,2017-11-07
525,93,Current,Dormant,52613.34,2015-07-11
526,64,Savings,Closed,8912.88,2016-04-20
527,565,Savings,Closed,42052.28,2026-05-01
528,581,Current,Active,63298.21,2022-04-24
529,101,Savings,Dormant,38637.89,2017-10-30
530,242,Current,Active,19215.52,2024-10-01
531,376,Current,Dormant,75378.08,2018-07-14
532,118,Fixed Deposit,Active,29372.24,2021-10-26
533,196,Current,Active,56298.01,2017-11-05
534,238,Current,Dormant,41205.75,2016-01-31
535,385,Savings,Dormant,28465.28,2018-01-20
536,185,Savings,Active,143585.4,2017-08-09
537,248,Savings,Active,25881.26,2021-04-23
538,174,Current,Active,43872.76,2015-03-28
539,456,Salary,Closed,41106.52,2017-09-27
540,92,Savings,Active,47567.45,2021-06-25
541,139,Current,Active,136624.84,2019-07-01
542,150,Fixed Deposit,Active,63355.93,2022-04-05
543,544,Fixed Deposit,Active,28238.94,2022-06-26
544,567,Current,Active,109379.51,2026-01-08
545,301,Current,Active,71235.1,2024-07-18
546,94,Current,Dormant,28699.15,2017-08-09
547,454,Fixed Deposit,Closed,98355.79,2022-11-28
548,296,Savings,Closed,11995.19,2022-02-28
549,510,Salary,Active,15500.75,2021-10-14
550,216,Savings,Active,8262.54,2024-02-14
551,600,Fixed Deposit,Active,4602.33,2016-09-08
552,485,Savings,Dormant,93659.14,2019-04-14
553,135,Savings,Active,48014.75,2024-04-26
554,436,Savings,Active,9153.17,2025-03-09
555,173,Savings,Active,40287.58,2015-06-05
556,210,Savings,Active,78103.0,2020-05-20
557,151,Savings,Active,22107.61,2018-01-06
558,410,Current,Active,32132.09,2016-12-01
559,158,Savings,Active,148060.37,2015-08-26
560,384,Fixed Deposit,Active,34542.18,2021-02-21
561,350,Fixed Deposit,Active,10002.99,2022-08-15
562,451,Current,Dormant,26818.17,2021-01-24
563,597,Savings,Active,8467.51,2019-03-17
564,6,Savings,Active,67082.63,2023-10-22
565,595,Salary,Dormant,19415.5,2022-06-12
566,66,Savings,Active,18857.09,2025-05-16
567,317,Savings,Dormant,156977.29,2018-12-18
568,205,Salary,Active,13890.13,2017-09-23
569,384,Salary,Dormant,11493.9,2020-03-15
570,434,Savings,Active,16287.98,2020-10-14
571,516,Current,Active,79813.1,2020-03-24
572,242,Current,Active,60928.24,2024-07-03
573,560,Fixed Deposit,Active,26523.9,2015-07-10
574,194,Savings,Active,24499.7,2021-01-09
575,123,Savings,Active,57596.43,2019-11-30
576,228,Current,Active,49396.85,2017-05-29
577,318,Savings,Dormant,36362.44,2022-04-27
