LOAN_ID,CUSTOMER_ID,BRANCH_ID,LOAN_TYPE,LOAN_AMOUNT,INTEREST_RATE,START_DATE,STATUS
50,107,6,Auto,449188.0,15.7,2023-01-24,Active
51,597,7,Personal,185307.0,10.22,2021-07-05,Closed
52,172,2,Education,1478294.0,15.99,2025-11-02,Active
53,219,11,Personal,352945.0,12.75,2023-12-31,Active
54,17,7,Business,407827.0,13.74,2018-06-07,Defaulted
55,567,1,Education,1685901.0,9.27,2022-03-14,Active
56,216,1,Auto,153622.0,12.79,2024-11-17,Active
57,101,9,Business,887319.0,11.6,2018-08-12,Active
58,291,10,Personal,1292330.0,15.61,2023-11-24,Closed
59,93,9,Home,1598627.0,15.14,2019-12-17,Closed
60,474,11,Auto,845020.0,10.57,2022-01-20,Defaulted
61,44,12,Personal,1073356.0,15.52,2025-01-23,Active
62,300,14,Home,1291863.0,14.96,2021-12-10,Closed
63,235,15,Personal,593912.0,12.31,2018-04-21,Active
64,23,14,Auto,311313.0,7.74,2018-03-02,Active
65,32,12,Personal,1769780.0,8.45,2023-11-24,Active
66,312,7,Home,995314.0,7.69,2025-06-14,Closed
67,237,8,Education,670857.0,7.97,2020-05-03,Active
68,78,10,Auto,195107.0,15.79,2025-06-27,Closed
69,84,3,Home,59828.0,8.91,2021-08-16,Active
70,483,11,Auto,875146.0,13.22,2018-06-21,Active
71,439,9,Auto,54680.0,12.73,2022-04-02,Written Off
72,365,8,Personal,665458.0,12.68,2025-10-17,Closed
73,501,13,Personal,367056.0,8.86,2020-01-01,Active
74,42,11,Home,448285.0,12.21,2025-09-08,Closed
75,413,14,Business,1511221.0,12.63,2023-03-21,Active
76,452,15,Auto,370026.0,12.13,2021-03-03,Closed
77,121,13,Home,690470.0,8.68,2023-07-20,Active
78,322,5,Education,371722.0,13.51,2021-03-17,Active
79,461,3,Personal,818185.0,7.66,2018-09-06,Active
80,363,5,Personal,736976.0,12.32,2024-12-20,Active
81,150,11,Auto,665798.0,10.93,2020-12-28,Active
82,399,13,Auto,1295076.0,9.25,2022-07-12,Active
83,456,14,Personal,154018.0,14.27,2023-12-16,Written Off
84,6,11,Home,113455.0,8.58,2018-08-31,Active
85,341,11,Auto,231306.0,15.4,2023-10-11,Active
86,303,15,Business,739710.0,14.96,2020-12-03,Active
87,221,11,Personal,919652.0,10.25,2022-05-11,Closed
88,27,3,Auto,18063.0,9.75,2021-08-29,Active
89,51,8,Home,911166.0,8.24,2024-03-23,Active
90,451,6,Personal,501886.0,15.25,2019-07-03,Closed
91,497,10,Auto,1799829.0,12.65,2018-11-11,Active
92,252,10,Home,864592.0,7.29,2021-04-16,Written Off
93,564,5,Home,1663974.0,11.6,2018-12-12,Active
94,557,5,Personal,1461309.0,7.77,2019-12-11,Closed
95,400,2,Personal,502099.0,12.16,2023-04-06,Active
96,349,5,Home,1183095.0,11.58,2024-07-21,Closed
97,579,13,Home,501235.0,7.75,2023-07-20,Closed
98,366,10,Personal,1948134.0,14.34,2020-07-17,Active
99,561,15,Personal,539699.0,9.36,2024-07-08,Active
100,588,14,Personal,950838.0,11.87,2021-04-01,Active
101,117,13,Home,2189013.0,12.75,2019-06-14,Active
102,397,3,Personal,980443.0,15.66,2024-01-20,Written Off
103,439,6,Business,460621.0,11.44,2022-02-19,Active
104,493,1,Personal,206304.0,15.26,2020-12-19,Closed
105,210,2,Home,155497.0,10.19,2023-04-16,Written Off
106,517,4,Personal,907922.0,14.72,2023-10-20,Closed
107,293,5,Auto,616141.0,9.12,2019-10-16,Closed
108,233,1,Home,235334.0,13.37,2018-12-09,Active
109,95,13,Auto,1097062.0,7.8,2022-02-19,Active
110,193,8,Business,1086607.0,15.87,2018-05-31,Active
111,585,10,Auto,607766.0,15.59,2023-02-10,Active
112,430,10,Business,1712533.0,10.98,2021-07-09,Active
113,436,15,Personal,126029.0,11.72,2019-09-19,Active
114,538,3,Personal,475039.0,12.38,2022-10-16,Active
115,161,6,Home,976729.0,9.48,2021-01-02,Active
116,397,5,Personal,261958.0,13.07,2021-02-09,Active
117,223,9,Home,1172665.0,13.29,2019-09-25,Active
118,509,8,Auto,1413682.0,11.73,2023-05-31,Active
119,254,12,Auto,34672.0,8.33,2025-03-24,Active
120,513,9,Auto,1750908.0,15.27,2022-12-14,Closed
121,449,4,Personal,935447.0,8.04,2019-11-24,Closed
122,464,9,Home,430529.0,12.66,2024-09-01,Active
123,556,15,Auto,170056.0,7.93,2018-12-20,Active
124,475,9,Business,1281461.0,8.31,2020-04-27,Active
125,193,9,Home,223678.0,7.18,2018-04-13,Active
126,313,3,Auto,934223.0,10.27,2024-10-15,Active
127,284,1,Auto,232770.0,12.76,2018-05-12,Written Off
128,39,4,Auto,654119.0,11.69,2022-05-16,Active
129,356,1,Personal,1242804.0,13.07,2019-07-15,Active
130,263,7,Home,435317.0,13.08,2019-09-13,Closed
131,237,14,Auto,1743000.0,8.26,2022-11-13,Active
132,66,7,Personal,992780.0,7.52,2024-06-07,Active
133,303,10,Auto,262767.0,12.63,2018-02-21,Active
134,348,13,Business,184384.0,12.88,2019-04-09,Defaulted
135,64,12,Business,333503.0,12.01,2020-04-18,Active
136,381,10,Home,630432.0,9.21,2025-07-21,Closed
137,101,12,Auto,1853718.0,14.3,2018-06-20,Closed
138,88,5,Home,2089090.0,7.68,2019-06-06,Active
139,241,7,Home,421532.0,12.69,2021-03-25,Closed
140,234,6,Auto,410495.0,8.08,2020-08-09,Active
141,549,12,Personal,1111911.0,12.89,2018-05-22,Active
142,41,7,Auto,1105566.0,10.76,2022-04-28,Active
143,210,15,Auto,1560437.0,13.46,2022-11-11,Written Off
144,441,3,Auto,1588509.0,7.47,2019-06-02,Active
145,150,3,Business,313045.0,12.0,2023-07-06,Active
146,589,11,Business,148223.0,8.3,2018-06-15,Defaulted
147,446,12,Home,1003151.0,13.14,2023-11-08,Active
148,568,11,Personal,769419.0,8.08,2020-01-28,Defaulted
149,570,5,Auto,75908.0,7.66,2019-10-18,Closed
150,66,1,Personal,144365.0,13.42,2019-07-29,Active
151,276,5,Personal,968896.0,7.57,2024-12-13,Closed
152,447,7,Business,587899.0,9.02,2022-01-07,Closed
153,6,7,Home,984726.0,14.42,2023-07-11,Active
154,272,14,Auto,246093.0,14.29,2019-08-20,Written Off
155,413,13,Business,1036031.0,14.69,2018-06-15,Defaulted
156,476,12,Home,841151.0,9.93,2018-04-22,Defaulted
157,250,1,Home,1090475.0,11.75,2021-07-12,Closed
158,518,2,Personal,447163.0,13.96,2020-08-12,Active
159,405,7,Education,369973.0,8.23,2024-02-23,Active
160,28,10,Personal,169768.0,13.52,2024-04-23,Active
161,167,11,Education,510893.0,7.88,2020-06-27,Active
162,563,5,Personal,1372743.0,15.22,2021-06-21,Closed
163,2,2,Home,1636303.0,12.74,2021-01-20,Closed
164,65,5,Personal,225615.0,11.44,2023-05-28,Active
165,207,12,Education,630063.0,11.36,2023-01-15,Active
166,597,15,Business,1872244.0,8.63,2023-03-19,Closed
167,423,15,Home,2042353.0,10.11,2018-06-12,Active
168,89,9,Home,494096.0,13.54,2020-09-14,Written Off
169,236,2,Education,1456341.0,11.87,2025-09-27,Closed
170,564,15,Auto,1290802.0,11.76,2020-09-26,Active
171,132,3,Home,1218702.0,8.76,2019-05-26,Active
172,346,5,Education,122483.0,13.21,2019-08-07,Closed
173,279,15,Personal,400337.0,10.53,2018-03-19,Active
174,457,8,Auto,577922.0,8.64,2024-04-01,Closed
175,452,3,Home,564842.0,15.49,2018-01-16,Active
176,500,8,Home,624791.0,11.56,2022-10-09,Active
177,72,2,Education,2191336.0,11.75,2021-03-13,Active
178,273,5,Auto,508043.0,15.83,2018-10-04,Closed
179,416,15,Home,870069.0,10.3,2025-01-28,Written Off
180,252,5,Auto,847564.0,15.49,2023-12-09,Defaulted
181,401,14,Home,630902.0,13.25,2024-07-24,Active
182,382,9,Home,239932.0,12.7,2025-06-30,Closed
183,223,10,Auto,697721.0,9.11,2025-04-19,Active
184,61,11,Personal,74034.0,7.47,2023-08-11,Active
185,583,9,Home,934324.0,10.94,2022-04-10,Defaulted
186,496,1,Auto,58286.0,7.09,2023-07-31,Active
187,537,14,Auto,874437.0,7.64,2021-08-04,Written Off
188,180,8,Auto,382322.0,12.36,2019-06-14,Active
189,190,10,Home,273045.0,13.52,2021-02-01,Active
190,195,9,Home,1124055.0,8.51,2021-09-26,Active
191,19,10,Home,460905.0,13.59,2018-05-16,Defaulted
192,102,6,Auto,670398.0,15.55,2024-10-13,Active
193,185,13,Personal,127461.0,13.69,2025-04-12,Closed
194,593,4,Home,1718347.0,14.06,2021-05-12,Active
195,123,10,Education,721432.0,13.31,2021-12-21,Closed
196,305,9,Personal,720076.0,9.02,2024-09-24,Active
197,329,8,Home,949100.0,10.25,2021-08-23,Active
198,216,1,Home,27570.0,15.54,2023-07-05,Closed
199,552,6,Home,1835077.0,12.95,2022-02-14,Closed
200,56,1,Home,492919.0,14.1,2020-03-03,Active
201,523,8,Personal,1762450.0,15.72,2024-05-10,Active
202,447,11,Home,478771.0,9.08,2019-07-18,Active
203,184,8,Education,392243.0,9.9,2019-10-19,Written Off
204,461,12,Auto,902782.0,12.8,2023-07-14,Closed
205,258,6,Personal,2484401.0,7.22,2023-09-07,Closed
206,583,5,Education,1455305.0,12.14,2025-08-21,Closed
207,22,7,Personal,976291.0,14.28,2023-09-09,Closed
208,18,4,Business,892439.0,12.49,2018-03-14,Active
209,327,13,Business,692752.0,9.66,2024-10-19,Active
210,559,13,Auto,1709370.0,13.52,2021-04-24,Closed
211,39,7,Home,1144350.0,8.31,2018-01-26,Active
212,467,12,Auto,165887.0,15.05,2022-08-20,Active
213,564,1,Home,274622.0,7.91,2019-05-14,Closed
214,292,3,Personal,1000620.0,14.77,2021-04-30,Defaulted
215,521,5,Auto,230778.0,11.48,2021-10-08,Closed
216,455,6,Auto,718311.0,10.86,2018-08-05,Active
217,129,4,Education,1212085.0,11.51,2024-10-22,Written Off
218,513,8,Auto,907493.0,8.8,2022-01-31,Active
219,420,12,Personal,196268.0,11.12,2025-09-22,Active
220,8,7,Auto,289461.0,14.65,2021-09-20,Written Off
221,341,7,Education,928393.0,14.21,2022-10-05,Closed
222,393,1,Personal,2306780.0,8.47,2024-07-02,Defaulted
223,481,5,Home,606875.0,13.06,2019-09-13,Closed
224,463,13,Personal,1241569.0,14.71,2025-04-10,Closed
225,286,13,Home,913325.0,14.38,2019-06-24,Active
226,180,2,Personal,378812.0,10.83,2025-12-21,Active
227,116,1,Personal,1251503.0,7.43,2023-02-13,Defaulted
228,54,13,Auto,122950.0,15.38,2022-02-25,Defaulted
229,384,3,Personal,1188477.0,10.56,2019-09-07,Active
230,576,9,Business,954380.0,10.25,2022-07-22,Active
231,49,13,Education,411125.0,13.84,2022-06-05,Active
232,422,12,Personal,251599.0,9.38,2025-11-15,Active
233,351,9,Personal,443284.0,14.51,2024-09-06,Defaulted
234,104,6,Auto,353681.0,7.68,2021-11-12,Active
235,128,12,Education,530898.0,13.67,2021-02-13,Active
236,171,11,Education,483125.0,15.69,2021-02-05,Defaulted
237,411,13,Home,410935.0,15.96,2021-01-11,Active
238,180,8,Home,117036.0,15.31,2018-02-09,Active
239,497,15,Auto,217443.0,14.84,2018-04-16,Active
240,222,12,Home,1391123.0,9.51,2024-01-06,Active
241,66,1,Auto,421423.0,15.7,2020-01-13,Active
242,58,5,Home,539295.0,15.35,2021-04-17,Active
243,241,12,Personal,461501.0,11.81,2023-08-03,Active
244,245,2,Home,1735866.0,10.62,2022-11-11,Active
245,441,11,Auto,346150.0,7.98,2020-11-19,Active
246,288,6,Personal,324130.0,12.32,2024-01-09,Active
247,99,4,Auto,969768.0,13.3,2019-04-08,Written Off
248,128,9,Auto,761265.0,10.64,2021-10-13,Active
249,340,14,Education,989348.0,10.65,2018-11-06,Active
250,201,14,Business,944864.0,12.16,2022-04-03,Defaulted
251,404,7,Personal,1274113.0,7.25,2018-10-05,Active
252,554,1,Home,190831.0,15.62,2025-07-15,Active
253,213,14,Home,903912.0,9.61,2023-04-11,Closed
254,332,14,Business,326051.0,8.27,2019-12-19,Active
255,500,10,Personal,78929.0,7.05,2022-11-26,Active
256,127,10,Education,940194.0,14.71,2020-10-20,Closed
257,307,8,Personal,901125.0,14.77,2022-02-24,Closed
258,184,1,Home,649868.0,7.86,2019-05-05,Active
259,377,3,Auto,1289658.0,8.37,2022-01-02,Active
260,446,3,Education,328472.0,11.03,2018-11-09,Active
261,85,14,Business,1052649.0,8.67,2019-03-24,Closed
262,113,1,Home,578876.0,13.62,2022-09-04,Active
263,14,9,Personal,614703.0,7.52,2022-01-03,Active
264,8,6,Home,94732.0,11.95,2020-05-08,Active
265,31,1,Business,1298766.0,10.45,2018-06-25,Defaulted
266,425,14,Auto,875903.0,11.18,2021-05-22,Active
267,543,1,Personal,1024170.0,10.82,2025-05-30,Active
268,246,13,Home,288500.0,8.38,2023-09-01,Active
269,530,12,Personal,802983.0,8.98,2018-06-19,Closed
270,438,12,Personal,577905.0,7.58,2025-07-04,Active
271,485,3,Auto,909631.0,8.04,2021-05-22,Defaulted
272,444,14,Education,775841.0,15.8,2022-08-11,Active
273,120,9,Business,1964151.0,9.52,2018-01-02,Active
274,315,7,Business,1571487.0,9.76,2020-06-25,Active
275,316,11,Auto,526497.0,8.14,2024-04-16,Active
276,385,6,Personal,939392.0,13.8,2020-08-24,Active
277,478,5,Personal,491518.0,15.32,2019-05-01,Closed
278,68,5,Personal,1265967.0,14.11,2018-09-23,Active
279,405,9,Auto,597309.0,12.51,2025-05-27,Closed
280,500,10,Personal,437395.0,14.32,2024-07-03,Active
281,70,4,Home,794756.0,10.64,2018-05-09,Active
282,249,4,Auto,1490083.0,14.74,2025-05-28,Active
283,538,15,Home,1333955.0,14.19,2024-07-27,Active
284,15,8,Auto,458770.0,7.02,2020-11-18,Active
285,97,13,Home,1850675.0,11.39,2023-04-04,Written Off
286,483,5,Home,304651.0,9.38,2020-01-24,Defaulted
287,104,5,Education,393914.0,7.78,2019-12-31,Closed
288,422,5,Personal,1229376.0,14.62,2023-09-20,Defaulted
289,541,8,Home,79653.0,7.07,2019-08-15,Active
290,300,12,Education,671821.0,13.57,2020-11-04,Active
291,291,8,Business,524686.0,15.89,2020-11-11,Active
292,258,5,Business,1922726.0,11.34,2019-03-16,Defaulted
293,224,15,Education,255922.0,10.34,2024-08-18,Active
294,229,9,Business,283534.0,12.45,2023-05-24,Active
295,333,6,Personal,2098954.0,14.24,2024-11-24,Closed
296,538,1,Business,529598.0,9.16,2022-03-12,Active
297,589,9,Business,1451003.0,9.26,2019-05-28,Closed
298,520,10,Auto,463153.0,12.46,2020-03-28,Active
299,72,14,Business,380242.0,15.46,2020-10-30,Closed
300,185,4,Education,1499971.0,9.69,2025-07-16,Defaulted
