TICKET_ID,CUSTOMER_ID,ISSUE_TYPE,STATUS,DATE_OPENED,DATE_RESOLVED
46,283,Account Access,Resolved,2024-07-09,2024-07-21
47,40,Loan Query,Resolved,2024-11-25,2024-11-27
48,475,Card Issue,Escalated,2025-03-20,
49,223,Loan Query,Closed,2024-05-15,2024-05-21
50,377,Loan Query,Resolved,2024-02-09,2024-02-20
51,408,General Inquiry,In Progress,2026-04-16,
52,284,Card Issue,Resolved,2025-06-22,2025-07-07
53,333,Loan Query,Closed,2025-08-21,2025-08-22
54,30,General Inquiry,Escalated,2024-08-02,
55,173,Loan Query,Escalated,2024-01-16,
56,199,Loan Query,Resolved,2026-03-12,2026-03-22
57,164,Card Issue,Open,2024-04-06,
58,335,Account Access,Closed,2026-02-24,2026-02-24
59,379,Loan Query,Closed,2026-07-23,2026-07-31
60,363,Billing Dispute,Resolved,2024-03-18,2024-04-05
61,231,Account Access,Resolved,2024-04-04,2024-04-07
62,192,Account Access,Resolved,2024-01-04,2024-01-23
63,364,Account Access,Resolved,2025-10-21,2025-10-22
64,521,Fraud Report,Resolved,2024-08-31,2024-09-12
65,145,Card Issue,Resolved,2025-12-25,2026-01-03
66,66,Loan Query,Closed,2025-05-06,2025-05-16
67,211,Billing Dispute,Escalated,2026-04-28,
68,146,Fraud Report,Escalated,2026-07-24,
69,500,Card Issue,In Progress,2026-04-12,
70,509,Account Access,Resolved,2024-11-12,2024-11-16
71,333,Account Access,Open,2025-10-01,
72,240,Billing Dispute,In Progress,2025-01-12,
73,236,Loan Query,Closed,2025-09-28,2025-10-09
74,159,Card Issue,Closed,2026-03-31,2026-04-01
75,126,Loan Query,Resolved,2025-04-06,2025-04-09
76,325,Card Issue,Resolved,2025-11-23,2025-11-24
77,364,Loan Query,Closed,2024-02-26,2024-03-04
78,347,Loan Query,Resolved,2025-11-25,2025-12-05
79,243,Loan Query,Closed,2025-07-30,2025-08-03
80,475,Card Issue,Closed,2026-01-04,2026-01-15
81,194,Fraud Report,Resolved,2024-12-29,2025-01-15
82,432,Loan Query,Resolved,2026-03-30,2026-04-12
83,385,Card Issue,Resolved,2025-04-18,2025-04-30
84,217,Billing Dispute,Resolved,2024-12-31,2025-01-05
85,354,Account Access,Resolved,2025-09-14,2025-09-22
86,130,Billing Dispute,Closed,2024-08-04,2024-08-15
87,128,Card Issue,Resolved,2025-08-20,2025-09-05
88,224,Account Access,Closed,2025-09-05,2025-09-10
89,461,General Inquiry,Resolved,2026-01-05,2026-01-21
90,469,Card Issue,Resolved,2024-06-18,2024-06-20
91,467,General Inquiry,In Progress,2025-10-17,
92,232,Card Issue,Closed,2024-10-03,2024-10-19
93,366,Card Issue,Resolved,2026-03-22,2026-04-01
94,588,Billing Dispute,In Progress,2024-10-21,
95,366,General Inquiry,Closed,2026-07-30,2026-08-09
96,466,Billing Dispute,Closed,2024-05-08,2024-05-18
97,176,Fraud Report,Resolved,2024-12-30,2025-01-15
98,378,Card Issue,Open,2025-08-31,
99,239,Account Access,Resolved,2025-05-01,2025-05-03
100,533,General Inquiry,Closed,2024-06-27,2024-06-28
101,516,Loan Query,Open,2024-01-21,
102,484,Account Access,Resolved,2026-04-25,2026-05-02
103,503,Loan Query,Closed,2024-08-31,2024-09-18
104,324,Loan Query,In Progress,2024-11-14,
105,517,Billing Dispute,Resolved,2025-05-11,2025-05-27
106,25,Billing Dispute,Resolved,2024-07-18,2024-08-02
107,514,Account Access,Resolved,2024-12-22,2024-12-30
108,354,Card Issue,Closed,2025-12-26,2026-01-11
109,505,Loan Query,Closed,2025-02-22,2025-03-09
110,440,Account Access,Resolved,2026-07-18,2026-07-20
111,285,Fraud Report,Closed,2025-05-10,2025-05-12
112,484,Account Access,Open,2026-01-07,
113,210,Account Access,Resolved,2026-03-02,2026-03-20
114,277,Account Access,Resolved,2025-11-12,2025-11-21
115,575,Loan Query,Closed,2024-02-12,2024-02-22
116,333,Loan Query,In Progress,2024-12-16,
117,458,Account Access,Resolved,2025-08-21,2025-09-05
118,252,Loan Query,Closed,2026-02-28,2026-03-14
119,9,General Inquiry,Closed,2025-07-07,2025-07-17
120,596,Fraud Report,Resolved,2026-03-14,2026-03-22
121,94,General Inquiry,Resolved,2024-12-08,2024-12-20
122,342,General Inquiry,Closed,2025-12-10,2025-12-17
123,411,Account Access,Closed,2025-12-25,2026-01-01
124,513,Billing Dispute,Resolved,2024-05-06,2024-05-17
125,459,Loan Query,Closed,2026-08-07,2026-08-10
126,489,Card Issue,Closed,2026-01-05,2026-01-14
127,66,Loan Query,Closed,2025-09-27,2025-10-07
128,209,Billing Dispute,Resolved,2025-03-28,2025-04-16
129,338,Account Access,Resolved,2025-10-04,2025-10-23
130,502,General Inquiry,Resolved,2026-05-01,2026-05-03
131,339,Billing Dispute,Closed,2024-08-12,2024-08-12
132,560,Card Issue,Closed,2026-07-28,2026-08-13
133,245,Billing Dispute,In Progress,2026-04-16,
134,222,Fraud Report,Resolved,2024-09-13,2024-09-17
135,330,General Inquiry,Resolved,2024-04-17,2024-04-18
136,68,Card Issue,Resolved,2025-01-20,2025-01-20
137,31,Card Issue,Escalated,2026-01-18,
138,180,Card Issue,Closed,2025-11-12,2025-11-19
139,248,General Inquiry,Resolved,2026-05-06,2026-05-12
140,230,Account Access,Resolved,2025-08-04,2025-08-14
141,104,Card Issue,Closed,2025-11-22,2025-12-11
142,506,Card Issue,Resolved,2026-06-02,2026-06-03
143,370,Billing Dispute,Resolved,2024-10-28,2024-10-31
144,266,Fraud Report,Resolved,2025-08-12,2025-08-15
145,331,Billing Dispute,Closed,2025-05-19,2025-05-28
146,401,Billing Dispute,Closed,2025-11-12,2025-11-26
147,2,Card Issue,Resolved,2026-04-09,2026-04-28
148,547,Account Access,Open,2024-06-05,
149,577,Billing Dispute,Resolved,2024-03-11,2024-03-14
150,77,Card Issue,In Progress,2024-07-14,
151,241,General Inquiry,Resolved,2024-08-25,2024-08-27
152,504,Card Issue,Resolved,2024-04-10,2024-04-22
153,134,Account Access,Open,2024-07-21,
154,313,Account Access,Resolved,2026-08-09,2026-08-13
155,298,Card Issue,Escalated,2025-08-31,
156,432,Card Issue,Closed,2025-03-18,2025-03-22
157,367,Billing Dispute,Open,2024-04-13,
158,40,Loan Query,Escalated,2025-09-05,
159,569,Account Access,Escalated,2024-09-14,
160,504,Fraud Report,In Progress,2025-12-13,
161,569,Billing Dispute,Resolved,2026-03-24,2026-04-02
162,37,Billing Dispute,Resolved,2024-11-06,2024-11-13
163,433,Loan Query,Closed,2025-08-15,2025-08-16
164,282,Card Issue,Resolved,2026-05-16,2026-05-27
165,451,Fraud Report,In Progress,2025-05-21,
166,225,Card Issue,Resolved,2024-07-09,2024-07-22
167,213,Loan Query,Resolved,2024-04-05,2024-04-06
168,272,Card Issue,Resolved,2024-09-14,2024-09-15
169,194,Fraud Report,Escalated,2024-06-01,
170,552,Card Issue,Closed,2025-04-02,2025-04-05
171,215,Account Access,Closed,2024-04-16,2024-05-01
172,178,Card Issue,Resolved,2024-02-15,2024-02-15
173,229,Billing Dispute,Resolved,2024-07-04,2024-07-20
174,172,Card Issue,Escalated,2024-04-26,
175,359,Card Issue,In Progress,2024-08-13,
176,19,Loan Query,Resolved,2025-10-31,2025-11-17
177,312,Account Access,Open,2025-02-17,
178,451,General Inquiry,Closed,2024-07-20,2024-07-24
179,213,Billing Dispute,Closed,2024-11-13,2024-11-29
180,179,Account Access,Closed,2025-01-07,2025-01-09
181,461,Card Issue,In Progress,2024-01-30,
182,114,General Inquiry,Closed,2026-01-22,2026-01-31
183,589,Card Issue,Escalated,2026-02-28,
184,544,Card Issue,Closed,2026-02-17,2026-02-21
185,325,Account Access,Escalated,2026-03-01,
186,18,Billing Dispute,Closed,2026-04-17,2026-04-24
187,212,General Inquiry,Resolved,2024-12-21,2025-01-07
188,450,Loan Query,Escalated,2026-01-18,
189,453,Loan Query,Resolved,2026-05-11,2026-05-23
190,17,Billing Dispute,Closed,2025-04-24,2025-05-02
191,114,General Inquiry,Resolved,2026-07-16,2026-08-03
192,378,Account Access,Closed,2026-06-15,2026-07-04
193,360,Fraud Report,In Progress,2024-12-29,
194,48,Loan Query,Resolved,2024-01-10,2024-01-14
195,170,Loan Query,Closed,2025-10-07,2025-10-11
196,247,Loan Query,In Progress,2025-12-02,
197,114,Card Issue,Open,2026-04-03,
198,348,Account Access,Resolved,2025-01-28,2025-02-04
199,320,General Inquiry,Closed,2026-01-22,2026-02-04
200,391,Account Access,Resolved,2024-04-20,2024-05-08
201,72,Card Issue,Closed,2024-08-12,2024-08-19
202,359,Loan Query,Resolved,2026-03-14,2026-03-29
203,325,Account Access,In Progress,2025-06-16,
204,387,Billing Dispute,In Progress,2024-05-12,
205,519,General Inquiry,Closed,2025-02-13,2025-02-14
206,510,Loan Query,Closed,2024-07-24,2024-07-31
207,443,General Inquiry,Closed,2024-09-30,2024-10-02
208,161,General Inquiry,Escalated,2024-08-23,
209,382,Billing Dispute,Resolved,2025-08-27,2025-09-11
210,80,General Inquiry,Resolved,2025-11-20,2025-12-06
211,44,Account Access,Closed,2024-01-08,2024-01-08
212,279,Fraud Report,Closed,2024-07-15,2024-07-16
213,53,Loan Query,Resolved,2024-06-05,2024-06-20
214,365,Loan Query,Resolved,2024-05-07,2024-05-24
215,494,Fraud Report,Closed,2024-04-07,2024-04-07
216,136,Card Issue,Escalated,2025-08-28,
217,473,Loan Query,Closed,2026-08-10,2026-08-11
218,84,Account Access,Escalated,2025-04-30,
219,87,Loan Query,Open,2024-05-28,
220,88,Fraud Report,Resolved,2026-03-30,2026-04-10
221,288,General Inquiry,Closed,2026-03-07,2026-03-23
222,243,Card Issue,Closed,2026-06-23,2026-07-12
223,578,Loan Query,In Progress,2026-04-06,
224,360,Account Access,Resolved,2024-10-11,2024-10-11
225,482,General Inquiry,Closed,2025-04-26,2025-04-30
226,99,Loan Query,In Progress,2026-04-12,
227,268,Loan Query,Escalated,2024-02-22,
228,31,Loan Query,Closed,2025-02-19,2025-03-03
229,254,Card Issue,Resolved,2025-12-29,2026-01-05
230,277,Card Issue,In Progress,2025-10-28,
231,289,Loan Query,In Progress,2025-07-22,
232,588,General Inquiry,Resolved,2026-01-01,2026-01-08
233,20,Loan Query,Resolved,2025-09-06,2025-09-16
234,394,Loan Query,Resolved,2025-08-28,2025-09-06
235,387,Fraud Report,In Progress,2025-06-19,
236,538,Account Access,Resolved,2025-10-25,2025-11-10
237,260,Loan Query,Escalated,2024-11-15,
238,548,Loan Query,Closed,2024-09-12,2024-09-14
239,67,Billing Dispute,Closed,2026-08-09,2026-08-26
240,531,Card Issue,Closed,2024-12-17,2024-12-30
241,9,Billing Dispute,Closed,2025-10-25,2025-11-09
242,67,Billing Dispute,Closed,2025-01-16,2025-01-19
243,369,Fraud Report,Resolved,2025-11-10,2025-11-13
244,284,General Inquiry,Escalated,2024-09-21,
245,357,Card Issue,Open,2025-06-11,
246,239,Loan Query,Resolved,2025-02-28,2025-03-16
247,462,Loan Query,Resolved,2024-02-26,2024-03-02
248,433,Account Access,Resolved,2025-02-16,2025-03-07
249,74,Loan Query,Closed,2025-07-16,2025-07-21
250,400,General Inquiry,Closed,2025-01-17,2025-01-26
251,38,General Inquiry,Closed,2025-04-01,2025-04-03
252,539,Card Issue,Closed,2025-05-02,2025-05-09
253,504,Card Issue,Open,2025-02-02,
254,114,General Inquiry,Resolved,2025-01-05,2025-01-22
255,70,Account Access,Resolved,2025-03-22,2025-03-27
256,11,Billing Dispute,Resolved,2024-05-15,2024-05-28
257,73,Account Access,Closed,2026-03-27,2026-04-06
258,481,General Inquiry,In Progress,2025-06-25,
259,564,Loan Query,Resolved,2026-04-06,2026-04-24
260,350,Loan Query,Closed,2024-06-21,2024-06-23
261,74,Card Issue,Closed,2026-04-09,2026-04-14
262,307,Card Issue,Escalated,2026-08-03,
263,276,General Inquiry,Closed,2025-06-28,2025-07-10
264,500,Account Access,Closed,2025-09-22,2025-10-11
265,532,Loan Query,Resolved,2025-12-17,2025-12-27
266,398,Billing Dispute,Closed,2024-11-25,2024-12-01
267,157,General Inquiry,Closed,2024-09-14,2024-10-01
268,532,Account Access,Open,2025-01-19,
269,269,Billing Dispute,Closed,2024-05-28,2024-06-15
270,327,Card Issue,Resolved,2024-08-09,2024-08-19
271,587,Card Issue,Closed,2025-08-27,2025-09-15
272,406,Fraud Report,Closed,2025-05-17,2025-05-18
273,177,Card Issue,Closed,2026-05-15,2026-05-19
274,382,Billing Dispute,Open,2024-11-11,
275,460,Account Access,Closed,2025-10-08,2025-10-26
276,174,Billing Dispute,Resolved,2024-12-27,2025-01-15
277,382,Loan Query,Resolved,2026-06-05,2026-06-21
278,597,Loan Query,In Progress,2026-01-17,
279,433,Card Issue,Resolved,2025-02-25,2025-03-07
280,215,Loan Query,Closed,2025-11-29,2025-11-29
281,225,General Inquiry,Resolved,2025-02-02,2025-02-13
282,150,Loan Query,Closed,2026-07-05,2026-07-18
283,430,Account Access,Escalated,2026-04-22,
284,572,General Inquiry,Open,2024-10-29,
285,346,Account Access,Resolved,2025-06-30,2025-07-17
286,121,Account Access,Resolved,2024-04-18,2024-04-26
287,523,General Inquiry,Resolved,2024-08-15,2024-08-19
288,20,Card Issue,Open,2025-08-28,
289,170,General Inquiry,Resolved,2024-02-03,2024-02-13
290,295,General Inquiry,In Progress,2024-09-02,
291,50,Account Access,Closed,2024-09-04,2024-09-17
292,531,Loan Query,Closed,2026-03-07,2026-03-19
293,196,Card Issue,Open,2024-01-05,
294,167,Loan Query,Closed,2026-03-13,2026-03-29
295,449,Loan Query,Closed,2026-08-03,2026-08-18
296,454,Card Issue,Resolved,2025-10-23,2025-11-04
297,309,Loan Query,Closed,2024-05-31,2024-06-12
298,293,General Inquiry,Open,2024-08-19,
299,321,Loan Query,Closed,2024-06-03,2024-06-09
300,329,Card Issue,Resolved,2026-03-04,2026-03-18
301,91,Card Issue,Resolved,2025-11-22,2025-12-08
302,64,Fraud Report,Resolved,2024-04-15,2024-04-26
303,94,Card Issue,Resolved,2026-06-25,2026-06-30
304,210,Card Issue,Resolved,2024-02-10,2024-02-18
305,92,General Inquiry,In Progress,2024-06-08,
306,522,Billing Dispute,Closed,2026-07-17,2026-07-31
307,270,Billing Dispute,Open,2024-07-29,
308,571,Card Issue,Closed,2025-11-26,2025-12-04
309,322,General Inquiry,Escalated,2024-11-28,
310,438,General Inquiry,Resolved,2025-02-01,2025-02-01
311,567,Account Access,Open,2025-04-16,
312,18,General Inquiry,Open,2025-03-26,
313,188,Billing Dispute,Resolved,2024-03-14,2024-03-27
314,355,Card Issue,Resolved,2024-05-18,2024-06-01
315,61,Account Access,Closed,2024-02-11,2024-02-24
316,3,Card Issue,Open,2026-03-26,
317,276,Card Issue,Escalated,2024-01-03,
318,103,Billing Dispute,Escalated,2026-02-26,
319,320,Account Access,Resolved,2026-08-12,2026-08-18
320,269,Account Access,Closed,2024-10-17,2024-10-28
321,358,General Inquiry,Closed,2025-09-16,2025-09-30
322,343,Card Issue,Resolved,2025-09-09,2025-09-14
323,526,General Inquiry,Closed,2026-05-13,2026-05-14
324,134,Account Access,Open,2024-01-03,
325,260,Fraud Report,Resolved,2026-01-06,2026-01-24
326,498,Loan Query,Closed,2026-04-18,2026-04-28
327,29,Card Issue,In Progress,2026-05-18,
328,292,Card Issue,Resolved,2024-02-05,2024-02-09
329,536,Account Access,In Progress,2025-01-18,
330,569,General Inquiry,Resolved,2026-01-27,2026-02-08
331,241,Account Access,Closed,2026-02-12,2026-02-27
332,456,Card Issue,Resolved,2024-10-30,2024-11-08
333,14,Fraud Report,Closed,2026-07-22,2026-07-22
334,10,Loan Query,Escalated,2025-04-04,
335,173,Card Issue,Closed,2025-05-08,2025-05-14
336,111,Billing Dispute,Closed,2025-07-22,2025-07-25
337,274,Card Issue,Resolved,2026-02-13,2026-02-18
338,324,General Inquiry,Closed,2024-11-03,2024-11-03
339,563,Card Issue,Closed,2026-07-11,2026-07-26
340,7,Fraud Report,In Progress,2025-06-06,
341,27,Fraud Report,In Progress,2025-12-04,
342,26,General Inquiry,In Progress,2025-10-08,
343,525,Loan Query,In Progress,2024-01-11,
344,144,Billing Dispute,Closed,2026-03-07,2026-03-16
345,55,Card Issue,Closed,2026-02-04,2026-02-18
346,179,Card Issue,Resolved,2026-04-27,2026-05-08
347,393,Card Issue,Closed,2024-04-13,2024-04-13
348,188,Card Issue,Escalated,2024-07-15,
349,91,Fraud Report,Escalated,2026-06-23,
350,257,Fraud Report,Escalated,2026-03-07,
351,205,Loan Query,Closed,2026-04-18,2026-05-07
352,145,Loan Query,Closed,2025-03-11,2025-03-22
353,517,Loan Query,Resolved,2024-11-05,2024-11-22
354,295,Account Access,Closed,2024-07-26,2024-08-06
355,358,Card Issue,Closed,2025-08-30,2025-09-12
356,147,Loan Query,Closed,2024-09-05,2024-09-10
357,504,General Inquiry,Resolved,2026-07-18,2026-07-26
358,537,Account Access,Closed,2026-07-16,2026-07-20
359,152,Billing Dispute,In Progress,2024-11-09,
360,415,General Inquiry,Closed,2024-02-29,2024-03-15
361,288,Card Issue,Resolved,2025-12-21,2025-12-29
362,385,Card Issue,Closed,2025-12-01,2025-12-07
363,124,Card Issue,In Progress,2024-11-09,
364,579,Loan Query,Resolved,2024-02-26,2024-03-02
365,512,General Inquiry,Escalated,2025-05-03,
366,273,General Inquiry,Closed,2026-07-09,2026-07-26
367,333,Loan Query,Resolved,2026-06-18,2026-07-01
368,286,Loan Query,In Progress,2024-09-30,
369,318,General Inquiry,Closed,2025-03-18,2025-03-29
370,192,Account Access,Resolved,2024-12-24,2024-12-31
371,172,Loan Query,Resolved,2024-01-19,2024-01-29
372,88,Fraud Report,Open,2025-09-12,
373,64,Loan Query,Resolved,2025-04-30,2025-05-19
374,577,Card Issue,In Progress,2024-08-30,
375,317,Fraud Report,Closed,2024-11-03,2024-11-03
376,333,Fraud Report,Resolved,2024-08-25,2024-08-30
377,92,Account Access,Closed,2026-03-30,2026-04-06
378,335,Loan Query,Resolved,2025-04-11,2025-04-30
379,44,Billing Dispute,Closed,2026-02-10,2026-02-13
380,360,Account Access,In Progress,2024-07-28,
381,429,Fraud Report,Open,2026-01-10,
382,387,Loan Query,Resolved,2025-12-15,2025-12-30
383,427,Account Access,Closed,2025-10-30,2025-11-06
384,112,Billing Dispute,Resolved,2025-12-12,2025-12-26
385,24,General Inquiry,Closed,2026-08-03,2026-08-03
386,402,Loan Query,Closed,2026-01-17,2026-01-21
387,492,Card Issue,Closed,2024-09-30,2024-10-02
388,39,Loan Query,Closed,2024-11-11,2024-11-26
389,549,Card Issue,Closed,2024-03-22,2024-04-06
390,390,Card Issue,Escalated,2025-10-30,
391,524,Card Issue,Open,2025-10-26,
392,305,Account Access,Resolved,2024-09-17,2024-09-29
393,129,Account Access,Resolved,2025-09-01,2025-09-19
394,310,Loan Query,Resolved,2026-07-19,2026-07-29
395,458,Fraud Report,Closed,2024-12-18,2025-01-06
396,547,Account Access,Closed,2026-07-17,2026-08-01
397,410,Card Issue,Open,2024-01-19,
398,255,Card Issue,Resolved,2024-03-09,2024-03-28
399,402,Loan Query,Closed,2024-12-20,2025-01-01
400,237,Card Issue,Resolved,2025-12-06,2025-12-19
