PAYMENT_ID,LOAN_ID,PAYMENT_DATE,LATE_PAYMENT_FLAG
95,23,2024-01-02,1
96,131,2022-02-14,0
97,19,2024-01-26,1
98,32,2019-01-07,0
99,109,2019-07-27,0
100,140,2022-04-29,0
101,159,2025-06-09,0
102,271,2025-02-09,1
103,229,2021-04-09,0
104,127,2020-06-17,1
105,101,2026-05-12,0
106,214,2022-11-26,1
107,83,2019-01-10,1
108,266,2019-12-14,0
109,235,2025-04-02,1
110,205,2025-10-14,0
111,75,2025-11-15,0
112,187,2018-01-22,0
113,247,2025-02-17,0
114,22,2018-12-21,0
115,54,2025-01-04,0
116,155,2025-08-22,0
117,108,2021-02-17,0
118,213,2019-09-05,0
119,121,2024-03-08,0
120,299,2018-08-05,0
121,90,2023-01-09,1
122,109,2020-11-15,1
123,2,2021-09-05,1
124,75,2025-02-26,0
125,71,2026-08-11,0
126,229,2021-06-27,1
127,102,2020-07-08,0
128,62,2025-03-26,0
129,95,2021-08-01,0
130,169,2019-09-25,0
131,236,2025-10-29,0
132,294,2026-08-06,0
133,15,2020-07-04,0
134,253,2019-05-16,0
135,117,2019-04-29,0
136,243,2023-03-11,0
137,12,2020-09-08,0
138,188,2023-05-27,0
139,280,2024-07-31,0
140,12,2018-01-19,0
141,238,2025-06-15,0
142,35,2018-04-03,0
143,295,2018-12-29,1
144,224,2024-04-13,0
145,274,2023-05-23,0
146,270,2026-06-25,1
147,95,2022-12-02,0
148,125,2021-08-13,0
149,208,2023-10-19,0
150,53,2024-08-09,0
151,92,2023-10-26,0
152,30,2021-03-19,0
153,267,2026-04-26,0
154,75,2020-08-12,0
155,124,2021-01-02,0
156,136,2020-05-29,0
157,113,2020-08-07,1
158,234,2019-11-06,0
159,275,2023-01-15,0
160,172,2024-04-26,0
161,252,2021-09-21,0
162,34,2025-12-31,0
163,290,2022-02-08,0
164,35,2022-01-18,0
165,20,2018-08-08,0
166,7,2025-10-31,0
167,74,2019-04-15,0
168,252,2019-06-05,0
169,91,2026-02-09,0
170,238,2022-07-03,0
171,128,2018-08-05,1
172,32,2021-10-30,0
173,142,2023-02-12,0
174,70,2018-02-01,0
175,88,2024-07-16,0
176,156,2023-10-18,0
177,238,2018-02-07,0
178,177,2023-05-13,0
179,67,2019-12-07,0
180,216,2024-05-14,0
181,209,2021-04-08,0
182,72,2019-10-02,0
183,256,2022-05-24,1
184,253,2021-11-03,0
185,182,2020-12-17,0
186,89,2025-08-13,0
187,107,2023-08-17,0
188,132,2022-03-24,0
189,57,2019-12-18,0
190,92,2022-12-06,0
191,41,2018-03-22,0
192,47,2025-09-02,0
193,224,2018-01-05,0
194,39,2024-01-22,1
195,141,2020-12-29,1
196,129,2024-03-26,0
197,14,2021-02-19,0
198,250,2018-03-24,0
199,296,2026-03-23,1
200,192,2024-08-22,0
201,202,2018-05-22,0
202,70,2018-04-15,0
203,254,2022-08-06,0
204,236,2026-04-17,0
205,132,2023-01-04,0
206,212,2018-02-03,0
207,287,2024-01-23,0
208,181,2021-09-16,0
209,60,2023-07-16,1
210,100,2021-01-14,0
211,56,2018-01-26,1
212,100,2018-02-28,0
213,268,2023-06-24,0
214,57,2023-07-04,0
215,268,2020-10-17,1
216,86,2018-09-18,0
217,150,2024-09-12,0
218,159,2019-04-24,0
219,38,2019-08-20,0
220,56,2021-12-03,0
221,92,2024-03-17,0
222,18,2026-08-17,0
223,227,2023-06-04,0
224,164,2026-04-29,0
225,254,2023-08-28,0
226,259,2025-05-08,0
227,105,2019-07-12,0
228,246,2018-06-28,0
229,19,2023-10-20,0
230,129,2026-06-15,0
231,200,2024-05-22,0
232,140,2020-12-22,0
233,222,2022-03-30,0
234,258,2018-12-22,0
235,128,2020-12-13,0
236,83,2023-12-03,1
237,175,2019-06-12,0
238,261,2022-03-05,0
239,297,2020-07-07,0
240,245,2022-04-03,0
241,74,2024-08-15,0
242,62,2025-09-02,1
243,172,2021-07-20,0
244,121,2025-03-03,0
245,184,2024-02-03,0
246,277,2025-12-28,1
247,165,2024-06-01,0
248,107,2022-10-10,0
249,261,2023-11-05,1
250,132,2020-10-02,1
251,182,2023-11-03,0
252,41,2024-02-23,0
253,153,2023-04-18,0
254,128,2018-11-23,0
255,37,2022-06-30,0
256,64,2024-02-29,0
257,211,2019-09-19,0
258,55,2024-10-28,0
259,40,2025-04-22,0
260,18,2022-09-02,0
261,8,2026-05-11,0
262,131,2025-06-08,0
263,147,2022-01-16,0
264,188,2025-08-31,0
265,172,2026-02-02,0
266,162,2018-12-09,1
267,300,2026-08-26,0
268,75,2018-01-16,1
269,214,2022-03-20,0
270,24,2026-02-17,0
271,255,2024-04-12,0
272,109,2020-04-24,0
273,104,2023-08-01,0
274,41,2019-11-11,0
275,153,2020-01-22,0
276,120,2025-11-26,0
277,293,2018-05-30,0
278,54,2026-05-05,0
279,126,2021-12-06,0
280,271,2018-07-25,0
281,243,2024-10-28,0
282,230,2018-06-02,0
283,158,2020-10-26,0
284,262,2020-02-02,0
285,68,2024-10-19,0
286,243,2021-06-09,0
287,175,2023-09-05,0
288,105,2018-08-17,0
289,66,2024-01-12,0
290,157,2024-02-29,0
291,1,2020-06-23,0
292,215,2025-08-22,0
293,71,2022-01-28,0
294,117,2023-10-14,0
295,58,2019-07-30,0
296,140,2026-02-01,0
297,112,2020-02-20,0
298,57,2023-06-06,0
299,267,2018-10-12,1
300,228,2018-05-22,0
301,117,2019-02-06,0
302,18,2026-03-04,0
303,254,2019-10-29,0
304,210,2025-08-16,0
305,167,2023-01-12,1
306,182,2018-10-08,0
307,3,2021-10-28,0
308,143,2022-02-26,0
309,57,2020-04-25,1
310,196,2023-03-28,0
311,280,2025-06-19,0
312,160,2025-08-29,0
313,182,2022-07-21,0
314,201,2025-09-29,0
315,279,2026-01-01,0
316,12,2018-10-06,0
317,94,2023-07-04,0
318,81,2024-09-14,0
319,215,2018-02-19,0
320,135,2023-03-26,0
321,232,2025-12-02,0
322,142,2020-04-29,0
323,293,2025-06-07,0
324,231,2026-02-04,0
325,6,2023-07-05,0
326,297,2023-06-16,0
327,286,2022-08-21,0
328,14,2021-07-18,0
329,118,2021-12-04,0
330,292,2022-07-12,0
331,252,2022-03-07,0
332,141,2025-02-28,0
333,164,2024-09-01,0
334,9,2021-01-05,0
335,170,2022-06-13,1
336,200,2019-11-13,0
337,108,2019-07-12,0
338,93,2021-03-13,0
339,249,2018-07-04,0
340,135,2025-05-29,0
341,80,2019-02-04,0
342,113,2020-10-30,0
343,148,2020-03-07,0
344,78,2019-10-17,0
345,169,2021-03-10,0
346,259,2024-03-27,0
347,223,2025-09-26,0
348,70,2019-08-21,0
349,142,2020-01-27,0
350,164,2022-01-26,0
351,205,2020-10-08,0
352,227,2024-12-07,0
353,146,2019-12-08,1
354,95,2021-06-28,0
355,198,2022-09-24,0
356,38,2021-04-22,0
357,203,2023-05-08,1
358,269,2024-12-06,0
359,213,2022-08-12,1
360,131,2021-12-17,0
361,247,2026-04-02,1
362,160,2026-07-06,0
363,163,2026-08-18,0
364,256,2018-02-22,0
365,58,2025-04-05,0
366,234,2025-10-16,1
367,204,2024-12-24,0
368,159,2024-07-01,0
369,24,2021-03-04,0
370,230,2024-04-17,0
371,66,2023-01-10,0
372,269,2025-03-17,0
373,238,2021-01-17,1
374,110,2024-06-09,1
375,131,2024-10-19,0
376,8,2025-03-25,0
377,150,2019-06-29,1
378,18,2025-06-27,1
379,297,2019-11-17,0
380,193,2026-02-14,0
381,71,2018-05-03,0
382,242,2019-12-09,0
383,6,2023-04-12,0
384,165,2022-09-17,0
385,34,2023-12-20,0
386,17,2021-07-01,0
387,74,2018-01-11,0
388,89,2023-05-10,0
389,218,2022-06-06,1
390,268,2022-05-30,0
391,233,2021-04-08,0
392,222,2025-09-20,1
393,170,2024-11-13,0
394,112,2019-07-28,0
395,77,2018-05-04,0
396,284,2019-07-29,0
397,157,2018-06-03,1
398,170,2024-02-24,1
399,5,2023-05-18,0
400,138,2022-01-05,0
401,205,2023-02-17,0
402,149,2025-01-03,0
403,185,2025-03-16,0
404,243,2021-10-07,0
405,7,2023-02-19,1
406,272,2023-01-01,0
407,246,2026-03-25,0
408,126,2024-08-07,0
409,230,2020-09-22,0
410,20,2025-09-09,0
411,93,2021-06-13,0
412,33,2024-07-26,0
413,191,2026-06-23,0
414,257,2025-01-05,0
415,181,2018-12-07,0
416,214,2019-10-14,0
417,43,2024-11-24,0
418,281,2019-01-26,0
419,58,2018-02-06,0
420,158,2020-03-28,0
421,205,2022-03-21,0
422,257,2019-02-11,0
423,281,2019-05-01,0
424,180,2020-12-08,0
425,173,2023-03-11,0
426,126,2022-09-20,0
427,171,2024-12-02,1
428,203,2026-07-03,0
429,195,2018-04-15,0
430,178,2023-12-20,1
431,133,2019-06-03,0
432,59,2021-02-15,0
433,17,2020-12-20,0
434,127,2024-01-28,1
435,119,2020-03-20,0
436,183,2025-10-03,0
437,271,2021-04-28,1
438,211,2025-01-24,0
439,242,2026-04-02,0
440,174,2022-06-05,0
441,279,2018-11-17,0
442,282,2024-01-30,0
443,46,2021-09-02,1
444,192,2020-12-07,0
445,152,2021-12-18,0
446,292,2020-08-07,0
447,176,2020-06-06,0
448,5,2026-07-31,1
449,63,2020-05-31,0
450,39,2021-12-23,0
451,61,2024-03-12,1
452,29,2019-12-01,1
453,235,2023-05-11,0
454,149,2025-10-06,0
455,202,2025-01-17,0
456,300,2018-04-01,0
457,195,2021-07-06,0
458,144,2018-01-01,1
459,81,2023-04-05,0
460,227,2020-10-26,0
461,153,2025-09-30,0
462,228,2019-07-10,0
463,7,2025-05-19,0
464,49,2020-12-19,0
465,39,2025-12-22,0
466,205,2019-09-24,0
467,156,2020-05-01,0
468,96,2021-01-16,0
469,93,2026-07-17,0
470,183,2024-05-12,0
471,290,2025-01-28,0
472,299,2022-10-17,0
473,142,2024-11-21,0
474,202,2023-06-08,0
475,26,2023-10-15,0
476,284,2025-04-04,1
477,6,2026-07-11,0
478,103,2022-12-29,0
479,218,2021-10-29,0
480,291,2023-08-30,0
481,52,2024-06-05,0
482,199,2026-07-20,1
483,57,2024-01-22,0
484,16,2026-04-11,0
485,128,2024-05-06,0
486,173,2026-04-02,0
487,80,2024-07-07,1
488,292,2025-09-02,0
489,185,2019-08-27,0
490,132,2026-08-09,1
491,146,2021-01-10,1
492,140,2024-11-30,0
493,34,2021-05-26,0
494,182,2021-12-21,0
495,236,2024-06-26,1
496,127,2022-09-08,0
497,128,2024-03-17,0
498,274,2018-09-08,0
499,184,2025-03-23,0
500,90,2021-07-17,0
501,2,2024-11-01,0
502,247,2020-06-22,0
503,188,2023-03-03,0
504,188,2023-02-06,0
505,85,2019-03-20,0
506,56,2022-02-10,0
507,149,2023-07-05,0
508,228,2025-04-01,0
509,90,2025-09-09,0
510,159,2021-05-02,0
511,299,2023-07-30,0
512,66,2019-07-08,0
513,70,2025-10-06,0
514,71,2025-07-11,0
515,274,2026-08-30,0
516,159,2022-03-20,0
517,276,2021-02-11,0
518,285,2024-07-27,0
519,127,2024-04-08,0
520,17,2019-11-03,1
521,92,2022-09-06,0
522,164,2023-08-01,0
523,115,2021-12-11,0
524,1,2021-03-21,0
525,297,2020-01-30,0
526,91,2021-07-27,0
527,186,2020-02-18,0
528,285,2020-08-09,1
529,164,2019-08-09,0
530,209,2021-04-06,0
531,11,2023-06-23,0
532,210,2021-04-10,1
533,255,2019-03-26,0
534,276,2024-12-11,0
535,26,2021-09-27,0
536,69,2023-01-23,0
537,15,2022-07-15,0
538,276,2022-05-22,0
539,83,2021-10-19,0
540,160,2024-07-20,0
541,143,2025-05-30,0
542,207,2025-11-01,0
543,269,2021-11-04,0
544,98,2020-12-15,0
545,238,2018-09-20,1
546,88,2021-11-02,0
547,60,2026-08-08,0
548,32,2020-04-03,0
549,112,2025-04-29,1
550,169,2024-07-23,0
551,235,2023-09-21,0
552,255,2022-11-25,0
553,159,2024-07-22,0
554,123,2018-11-08,0
555,53,2019-02-10,0
556,275,2019-09-12,0
557,119,2024-08-21,0
558,230,2021-09-29,1
559,188,2019-10-20,0
560,280,2018-05-23,0
561,292,2022-03-29,0
562,213,2021-06-16,0
563,199,2019-07-18,0
564,42,2018-03-15,0
565,5,2024-07-14,1
566,164,2024-10-03,1
567,212,2020-02-18,0
568,224,2022-04-13,0
569,76,2020-03-12,0
570,151,2021-07-18,0
571,259,2018-12-12,0
572,29,2026-03-15,1
573,116,2024-03-31,0
574,284,2025-10-23,0
575,60,2020-07-25,1
576,96,2025-07-26,1
577,141,2022-06-29,0
578,207,2019-09-20,0
579,77,2020-11-17,0
580,238,2025-01-13,0
581,71,2024-09-18,0
582,111,2024-03-30,0
583,172,2019-12-19,0
584,4,2023-08-13,0
585,231,2026-02-26,0
586,201,2018-06-04,0
587,251,2020-10-14,0
588,83,2018-09-12,0
589,120,2018-11-25,0
590,270,2026-08-26,1
591,21,2020-01-31,0
592,148,2019-07-22,0
593,146,2018-08-23,0
594,135,2026-07-03,1
595,131,2022-01-24,0
596,225,2024-11-10,0
597,60,2020-03-03,0
598,268,2023-07-23,0
599,269,2025-09-06,0
600,54,2023-10-26,0
601,293,2022-06-26,1
602,79,2019-10-29,0
603,16,2020-01-09,0
604,120,2023-03-05,0
605,239,2021-11-29,0
606,254,2018-05-28,0
607,194,2019-09-13,0
608,244,2021-09-29,0
609,79,2019-07-20,0
610,264,2022-10-20,0
611,191,2020-08-09,1
612,41,2020-07-11,0
613,39,2018-12-09,0
614,81,2022-05-13,0
615,21,2019-08-21,0
616,85,2023-06-19,0
617,299,2026-02-17,0
618,73,2025-11-28,0
619,191,2023-10-13,0
620,294,2024-12-31,0
621,76,2025-12-26,0
622,209,2023-11-29,0
623,136,2020-03-24,0
624,86,2022-05-05,0
625,286,2025-06-06,0
626,198,2023-10-16,0
627,132,2021-02-20,0
628,244,2019-06-18,0
629,271,2019-04-02,1
630,235,2021-04-08,0
631,261,2024-12-22,0
632,97,2022-10-16,0
633,104,2018-07-08,0
634,70,2025-12-17,0
635,209,2021-07-05,1
636,241,2021-05-21,0
637,199,2025-02-06,0
638,180,2021-04-08,0
639,232,2023-05-09,0
640,55,2025-12-26,1
641,110,2022-06-29,1
642,213,2023-04-29,0
643,16,2021-01-24,0
644,274,2025-09-20,0
645,52,2018-08-26,0
646,237,2020-05-24,0
647,185,2026-08-04,0
648,255,2022-03-13,0
649,233,2019-07-08,0
650,155,2021-08-02,0
651,227,2020-03-19,0
652,104,2022-07-22,0
653,176,2020-01-17,0
654,275,2021-06-18,0
655,26,2025-11-14,0
656,107,2018-09-18,0
657,6,2024-08-14,0
658,161,2018-09-05,0
659,235,2021-12-18,0
660,12,2023-10-17,0
661,165,2026-04-13,0
662,125,2020-03-02,0
663,235,2018-06-17,0
664,67,2024-07-05,0
665,49,2025-09-30,0
666,29,2022-11-24,0
667,123,2018-07-11,0
668,147,2022-05-05,1
669,276,2021-05-23,0
670,140,2021-11-30,0
671,52,2018-06-20,0
672,210,2020-10-01,0
673,19,2026-08-29,0
674,104,2018-05-25,0
675,197,2025-12-04,0
676,77,2022-06-27,1
677,179,2023-01-26,0
678,136,2026-02-03,0
679,286,2019-11-21,1
680,87,2026-07-14,0
681,272,2020-05-26,0
682,188,2021-01-10,0
683,225,2021-11-24,0
684,51,2023-03-20,0
685,6,2020-10-18,0
686,220,2024-11-15,0
687,145,2018-03-09,0
688,93,2023-10-12,0
689,269,2023-09-09,1
690,98,2022-08-20,0
691,131,2023-04-27,0
692,218,2024-06-25,1
693,289,2025-11-03,1
694,270,2019-11-23,0
695,196,2022-02-18,0
696,34,2022-11-15,0
697,33,2020-12-27,0
698,208,2026-06-11,0
699,153,2022-06-08,0
700,40,2023-02-20,0
701,209,2019-09-09,0
702,283,2021-08-09,0
703,20,2023-06-04,0
704,248,2021-09-18,0
705,104,2024-09-03,0
706,120,2019-03-09,1
707,216,2019-05-01,1
708,75,2020-12-09,0
709,48,2020-10-05,0
710,290,2025-01-25,1
711,105,2025-07-10,1
712,51,2022-02-03,1
713,207,2022-05-20,0
714,66,2020-07-20,0
715,233,2022-08-11,0
716,22,2024-02-15,0
717,156,2024-04-06,0
718,121,2026-05-26,0
719,288,2023-01-04,0
720,157,2020-12-13,0
721,278,2018-08-09,0
722,75,2023-12-18,0
723,143,2024-12-20,0
724,245,2022-10-15,0
725,49,2025-12-31,1
726,279,2020-09-30,0
727,232,2018-06-18,0
728,204,2023-06-28,0
729,73,2019-01-19,0
730,246,2018-09-24,0
731,253,2024-02-01,0
732,88,2021-10-07,1
733,177,2023-03-29,0
734,19,2024-06-25,1
735,119,2021-04-26,0
736,46,2023-04-19,0
737,167,2022-09-04,0
738,165,2023-01-11,0
739,160,2024-02-05,1
740,204,2021-04-19,0
741,278,2022-05-17,0
742,60,2023-02-15,0
743,65,2019-03-20,1
744,65,2019-11-01,0
745,279,2018-10-11,0
746,28,2019-09-19,0
747,10,2021-10-21,0
748,49,2026-02-16,0
749,231,2025-12-31,0
750,174,2024-08-12,0
751,276,2022-11-01,0
752,62,2019-10-04,0
753,119,2021-02-08,0
754,167,2024-08-23,0
755,22,2025-11-16,0
756,276,2026-05-06,1
757,242,2021-05-15,0
758,44,2022-03-21,0
759,253,2022-05-31,1
760,135,2018-06-28,0
761,101,2019-01-04,0
762,284,2018-05-24,0
763,156,2024-05-23,0
764,69,2019-12-12,0
765,243,2024-01-27,0
766,215,2021-04-03,0
767,58,2024-11-19,0
768,204,2019-01-01,1
769,189,2020-10-26,0
770,83,2019-10-11,1
771,130,2021-10-12,0
772,252,2022-11-15,1
773,53,2019-06-17,0
774,217,2023-10-13,1
775,250,2026-05-12,0
776,282,2018-05-18,0
777,98,2018-09-30,0
778,80,2026-04-03,0
779,281,2023-08-17,0
780,139,2025-12-21,1
781,171,2024-02-11,0
782,154,2024-03-21,1
783,155,2019-05-15,0
784,188,2022-06-09,0
785,127,2021-03-02,1
786,118,2025-03-24,0
787,121,2018-05-17,0
788,197,2018-02-27,0
789,246,2022-10-29,0
790,167,2026-05-31,0
791,204,2026-08-16,0
792,124,2023-02-23,0
793,233,2021-09-23,0
794,119,2020-05-14,0
795,127,2026-08-01,0
796,17,2019-08-04,0
797,79,2019-02-04,1
798,222,2022-05-29,1
799,27,2021-05-27,1
800,68,2022-04-19,0
801,233,2025-10-26,0
802,262,2020-05-04,0
803,125,2025-08-07,0
804,123,2019-11-02,1
805,153,2020-10-21,0
806,232,2018-01-15,0
807,141,2023-11-19,1
808,53,2025-06-10,0
809,130,2025-09-06,0
810,77,2019-06-15,0
811,206,2024-08-24,0
812,43,2019-03-24,0
813,183,2023-06-13,0
814,39,2024-02-02,0
815,292,2019-04-29,0
816,193,2018-12-16,0
817,42,2018-08-20,0
818,288,2024-02-21,0
819,173,2023-04-30,0
820,182,2019-01-13,0
821,19,2022-05-03,0
822,57,2024-11-24,0
823,243,2020-01-24,0
824,141,2023-04-02,0
825,185,2020-07-15,0
826,297,2020-04-06,1
827,129,2021-05-26,1
828,115,2021-01-20,1
829,241,2022-04-18,0
830,20,2019-10-13,1
831,137,2021-05-20,0
832,257,2023-05-25,0
833,69,2021-05-11,1
834,92,2023-09-10,0
835,142,2019-01-02,0
836,23,2019-03-12,0
837,22,2025-07-03,0
838,76,2022-01-02,0
839,270,2023-04-13,0
840,67,2024-05-31,0
841,220,2019-04-08,0
842,128,2026-06-06,0
843,229,2021-09-03,0
844,100,2025-09-17,0
845,263,2021-08-12,0
846,112,2021-07-08,0
847,238,2023-03-17,0
848,250,2019-08-28,0
849,130,2023-04-12,0
850,201,2026-07-11,0
851,36,2023-08-05,0
852,149,2018-08-10,0
853,113,2024-01-19,0
854,287,2018-04-16,0
855,281,2018-11-24,0
856,236,2020-06-19,1
857,285,2020-08-23,0
858,293,2018-01-12,0
859,231,2018-02-24,0
860,179,2024-11-03,0
861,62,2021-12-10,0
862,245,2019-09-25,0
863,59,2021-09-21,1
864,56,2024-01-03,0
865,264,2024-05-13,0
866,35,2020-07-01,1
867,43,2019-06-14,1
868,154,2026-04-26,0
869,176,2023-06-23,0
870,14,2026-07-10,0
871,114,2020-08-28,0
872,68,2018-12-19,1
873,91,2021-04-24,0
874,55,2020-11-03,0
875,204,2024-03-27,0
876,142,2024-03-17,0
877,288,2018-08-15,0
878,3,2023-02-04,0
879,234,2020-12-21,0
880,273,2023-05-01,0
881,146,2021-05-23,0
882,210,2022-08-29,0
883,133,2024-03-16,0
884,179,2020-07-17,0
885,273,2019-09-23,0
886,160,2024-02-14,1
887,174,2026-03-19,0
888,297,2021-11-06,0
889,149,2026-08-25,0
890,52,2019-08-09,0
891,205,2025-02-05,0
892,208,2026-07-26,0
893,72,2020-08-06,0
894,219,2019-04-14,0
895,20,2023-10-03,0
896,97,2025-07-15,0
897,257,2018-09-21,0
898,186,2023-07-22,0
899,183,2025-07-21,0
900,187,2018-04-12,0
901,50,2022-06-22,0
902,289,2018-09-01,0
903,90,2019-07-13,0
904,236,2022-03-20,0
905,297,2020-11-02,0
906,73,2018-09-27,0
907,191,2024-12-10,0
908,13,2019-10-05,0
909,191,2025-07-18,0
910,133,2019-07-14,0
911,22,2022-07-04,0
912,202,2024-04-20,1
913,291,2022-03-01,0
914,25,2021-08-13,0
915,268,2024-07-04,0
916,254,2018-02-07,0
917,165,2025-02-28,0
918,271,2023-12-25,1
919,93,2024-08-18,0
920,217,2021-08-25,0
921,210,2021-05-02,0
922,175,2022-12-16,1
923,251,2023-07-26,1
924,263,2026-01-08,1
925,236,2025-06-07,0
926,177,2018-06-20,0
927,294,2019-04-26,0
928,167,2026-03-16,0
929,192,2021-05-13,0
930,57,2023-01-12,1
931,97,2018-06-29,0
932,272,2018-11-28,0
933,150,2021-07-18,0
934,154,2024-03-21,0
935,245,2024-09-11,0
936,98,2025-10-03,1
937,80,2019-09-16,0
938,3,2019-10-02,0
939,70,2022-09-12,0
940,154,2022-09-28,0
941,218,2018-04-26,0
942,99,2021-11-16,0
943,134,2025-10-12,0
944,67,2019-06-03,0
945,245,2025-02-09,1
946,158,2021-11-16,0
947,44,2022-07-19,0
948,183,2023-07-25,1
949,101,2024-02-13,0
950,260,2023-07-12,1
951,81,2018-11-25,1
952,260,2020-07-24,0
953,210,2025-04-29,0
954,41,2018-05-08,0
955,228,2024-03-14,0
956,217,2022-07-06,0
957,137,2019-01-15,1
958,49,2019-01-24,0
959,144,2026-07-02,0
960,183,2018-04-09,0
961,40,2018-03-13,0
962,103,2018-02-22,0
963,211,2023-06-13,0
964,166,2026-01-11,0
965,298,2019-06-28,0
966,66,2024-11-24,0
967,234,2024-03-27,1
968,128,2019-12-29,0
969,67,2018-08-11,0
970,286,2022-03-25,0
971,187,2018-09-14,0
972,161,2018-12-26,1
973,89,2022-01-16,0
974,265,2025-01-26,0
975,10,2026-08-14,0
976,35,2023-06-11,0
977,54,2020-05-25,1
978,196,2020-11-05,0
979,31,2023-04-24,1
980,240,2019-07-03,0
981,59,2022-06-30,0
982,203,2024-08-31,0
983,239,2025-04-20,0
984,264,2018-07-07,0
985,88,2020-07-02,0
986,23,2020-03-17,0
987,228,2022-10-23,0
988,135,2019-08-10,0
989,285,2026-03-29,0
990,57,2025-12-13,0
991,173,2020-11-18,0
992,36,2021-07-12,0
993,146,2021-10-23,0
994,1,2018-05-15,0
995,226,2025-09-14,0
996,182,2024-10-03,0
997,30,2020-11-18,0
998,150,2022-09-30,0
999,129,2021-04-20,0
1000,203,2019-12-24,0
1001,150,2020-08-20,0
1002,138,2018-12-06,0
1003,250,2025-01-06,0
1004,156,2023-09-05,1
1005,245,2026-01-24,0
1006,266,2018-01-21,0
1007,255,2023-06-22,0
1008,287,2022-11-10,0
1009,210,2023-05-29,0
1010,169,2026-07-31,0
1011,160,2021-05-19,0
1012,62,2019-03-23,0
1013,249,2018-02-09,1
1014,208,2022-04-07,1
1015,262,2019-07-05,0
1016,211,2019-03-23,0
1017,145,2019-04-12,0
1018,89,2020-05-26,1
1019,296,2019-01-02,0
1020,221,2022-03-19,0
1021,263,2023-09-02,1
1022,176,2020-07-04,1
1023,154,2019-03-08,0
1024,11,2022-12-18,1
1025,21,2018-09-29,0
1026,213,2024-05-24,0
1027,68,2021-04-26,1
1028,25,2021-07-21,0
1029,233,2020-02-28,0
1030,187,2020-06-14,0
1031,34,2019-04-07,0
1032,150,2022-11-02,0
1033,141,2019-04-08,0
1034,2,2023-11-25,0
1035,182,2020-03-22,0
1036,120,2022-11-26,1
1037,264,2022-08-27,0
1038,35,2023-06-29,0
1039,255,2024-07-28,0
1040,2,2022-11-10,0
1041,230,2025-05-23,0
1042,235,2020-03-31,1
1043,123,2024-07-06,1
1044,85,2020-12-21,0
1045,43,2023-06-12,1
1046,102,2022-04-07,0
1047,201,2025-11-13,0
1048,218,2020-05-08,0
1049,55,2022-07-04,0
1050,4,2019-06-05,1
1051,169,2023-06-29,0
1052,175,2018-04-27,0
1053,295,2021-07-27,0
1054,229,2018-02-01,0
1055,166,2020-11-02,0
1056,178,2022-03-13,1
1057,194,2020-11-16,0
1058,136,2021-05-06,0
1059,204,2019-04-15,0
1060,59,2024-03-12,0
1061,250,2024-11-27,0
1062,259,2021-12-10,0
1063,131,2018-06-25,0
1064,138,2018-07-17,0
